total_docks,latitude,station_name,longitude,id,docks_in_service,status,short_name,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
23,41.945529,Broadway & Cornelia Ave,-87.646439,a3aa3adf-a135-11e9-9cda-0a87ae2ba916,23,In Service,13278,POINT (-87.646439 41.945529),244.0,17,618,6,Census Tract 618,6,17031061800,,061800,031
9,41.969659,Western Ave & Gunnison St,-87.68955,1594046443937813244,9,In Service,,POINT (-87.68955 41.969659),27.0,17,402.01,4,Census Tract 402.01,4,17031040201,,040201,031
11,41.7664929373,Stony Island Ave & 71st St,-87.5864608775,a3ac4a7c-a135-11e9-9cda-0a87ae2ba916,11,In Service,KA1503000045,POINT (-87.5864608775 41.7664929373),423.0,17,4303,43,Census Tract 4303,43,17031430300,,430300,031
8,41.885579,N Green St & W Lake St,-87.648484,1436495109493626546,8,In Service,,POINT (-87.648484 41.885579),66.0,17,8330,28,Census Tract 8330,28,17031833000,,833000,031
23,41.912919,Elston Ave & Wabansia Ave,-87.664169,a3aa7897-a135-11e9-9cda-0a87ae2ba916,23,In Service,TA1309000032,POINT (-87.664169 41.912919),113.0,17,8423,24,Census Tract 8423,24,17031842300,,842300,031
9,41.902393,Kildare Ave & Division St,-87.733598,1575949493798695616,9,In Service,,POINT (-87.733598 41.902393),102.0,17,8421,23,Census Tract 8421,23,17031842100,,842100,031
39,41.866095,Adler Planetarium,-87.607267,a3ab812d-a135-11e9-9cda-0a87ae2ba916,39,In Service,13431,POINT (-87.607267 41.866095),385.0,17,3301,33,Census Tract 3301,33,17031330100,,330100,031
35,41.8759326655,Clark St & Ida B Wells Dr,-87.6305845355,a3a46361-a135-11e9-9cda-0a87ae2ba916,35,In Service,TA1305000009,POINT (-87.6305845355 41.8759326655),96.0,17,8391,32,Census Tract 8391,32,17031839100,,839100,031
19,41.92154,Sheffield Ave & Webster Ave,-87.653818,a3aabad8-a135-11e9-9cda-0a87ae2ba916,19,In Service,TA1309000033,POINT (-87.653818 41.92154),785.0,17,710,7,Census Tract 710,7,17031071000,,071000,031
23,41.9093960065,Damen Ave & Pierce Ave,-87.6776919292,a3a4b693-a135-11e9-9cda-0a87ae2ba916,23,In Service,TA1305000041,POINT (-87.6776919292 41.9093960065),487.0,17,2414,24,Census Tract 2414,24,17031241400,,241400,031
