ID,Tract
12,251500
1217,251500
1216,430900
1215,730500
1214,71500
1213,360200
1212,120200
1211,150200
12,470100
1219,30400
1218,681200
1107,60200
1106,231200
2,840200
1226,100300
3,340500
1225,681200
4,835500
1103,231100
1224,81402
5,611400
1102,271300
1223,100300
6,460200
1222,100300
7,611900
11,51100
8,834900
9,681300
1109,251600
1108,841700
1121,600400
1242,81300
11,292200
1118,500300
1239,81202
1238,100200
1116,230500
1237,500300
1115,62900
1114,290900
1113,310200
1112,835800
1111,400400
1119,110502
1011,640700
1132,530300
1253,10300
10,390600
11,222900
1251,10400
1008,670300
1129,660800
1128,833300
1006,242200
1127,838700
1248,10400
1005,491000
1126,510300
1004,510200
1003,230400
1124,60300
1002,31400
1123,20400
1244,81000
1001,4314
1122,510300
1022,310900
1143,70500
1021,842100
10,839600
1141,130200
1262,10100
1261,10400
12,10400
1019,832600
1018,600900
1139,251700
1017,71000
1138,231500
1016,620200
1137,660700
1258,10100
1015,242800
1257,10300
1014,834600
1135,63000
1256,10100
1013,10300
1255,30103
1012,7113
1133,210700
1033,381800
1154,420800
1275,430300
1032,220300
1274,836300
1031,40201
1273,380100
10,842900
1151,100500
1272,410600
11,243000
12,70400
1029,839900
1028,611600
1149,836800
1027,241500
1148,70700
1026,252202
1147,210100
1268,420300
1025,842600
1267,710100
1024,600600
1145,62000
6,838800
1265,30101
601,170100
602,260200
1044,843800
1165,242400
1286,700402
1043,10100
1164,260200
1042,200100
1284,840400
1041,530100
1162,839900
1283,221100
1161,210900
10,836700
1281,50600
12,191301
1039,230600
1159,310600
1038,100100
1037,81800
1279,30703
1036,840300
1278,570100
1035,271200
1277,832500
1155,840100
1276,63100
1055,630600
1054,560900
1053,672000
1052,720500
1051,680500
10,252201
1049,691000
1048,691100
5,260900
1047,832900
1168,70200
501,190100
1046,711300
1288,600700
502,843200
1045,240600
1287,510300
503,5203
504,836500
505,640500
506,10100
507,330102
509,710700
1066,300700
1065,838000
1064,260300
1063,612200
1062,840400
1061,830600
10,740300
5,838200
511,81800
