id,address,status,match_quality,matched_address,tiger_line_id,tiger_side,state,county,tract,block,longitude,latitude
1109,"4950 W HUBBARD ST, Chicago, IL, 60644",Match,Exact,"4950 W HUBBARD ST, CHICAGO, IL, 60644",111758176.0,R,17.0,31.0,251600.0,2013.0,-87.74927859390175,41.88871312487794
1108,"2148 S HOMAN AVE, Chicago, IL, 60623",Match,Exact,"2148 S HOMAN AVE, CHICAGO, IL, 60623",605095529.0,R,17.0,31.0,841700.0,1011.0,-87.71023731843104,41.85298485071098
1121,"632 W 31ST ST, Chicago, IL, 60616",Match,Exact,"632 W 31ST ST, CHICAGO, IL, 60616",605507600.0,R,17.0,31.0,600400.0,2006.0,-87.64334229880126,41.838140139750976
1242,"228 E CHICAGO AVE, Chicago, IL, 60611",Match,Exact,"228 E CHICAGO AVE, CHICAGO, IL, 60611",111768978.0,L,17.0,31.0,81300.0,6002.0,-87.62352112172897,41.89679914397226
1120,"3432 W 18TH ST, Chicago, IL, 60623",Match,Exact,"3432 W 18TH ST, CHICAGO, IL, 60623",605095057.0,R,17.0,31.0,292200.0,1002.0,-87.71160652257817,41.8572404502101
1118,"700 E 113TH ST, Chicago, IL, 60628",Match,Exact,"700 E 113TH ST, CHICAGO, IL, 60628",111774144.0,L,17.0,31.0,500300.0,1010.0,-87.60584555056056,41.68925547321584
1239,"1031 N RUSH ST, Chicago, IL, 60611",Match,Exact,"1031 N RUSH ST, CHICAGO, IL, 60611",629478809.0,R,17.0,31.0,81202.0,2000.0,-87.62785700370608,41.901661557266095
1238,"6086 N NORTHWEST HWY, Chicago, IL, 60631",Match,Exact,"6086 N NORTHWEST HWY, CHICAGO, IL, 60631",111736179.0,L,17.0,31.0,100200.0,4011.0,-87.79865796093219,41.99205473358461
1116,"1655 N KEYSTONE AVE, Chicago, IL, 60639",Match,Exact,"1655 N KEYSTONE AVE, CHICAGO, IL, 60639",605042573.0,R,17.0,31.0,230500.0,1011.0,-87.72751446930846,41.91109325235254
1237,"11113 S COTTAGE GROVE AVE, Chicago, IL, 60628",Match,Exact,"11113 S COTTAGE GROVE AVE, CHICAGO, IL, 60628",111773964.0,L,17.0,31.0,500300.0,2004.0,-87.6100222975627,41.69166850607775
