city,systemstop,public_nam,cross_st,pos,owlroutes,dir,street,routesstpg,geometry,index_right,statefp10,name10,commarea_n,namelsad10,commarea,geoid10,notes,tractce10,countyfp10
CHICAGO,1056.0,Sheridan & Irving Park,IRVING PARK,FS,,SB,SHERIDAN,"151,X9",POINT (-87.65461108599999 41.95429811600002),84.0,17,8321,6,Census Tract 8321,6,17031832100,,832100,031
CHICAGO,4503.0,Archer & 47th Street,47TH STREET,NS,N62,SWB,ARCHER,62,POINT (-87.71426007100001 41.808043806),574.0,17,5701,57,Census Tract 5701,57,17031570100,,570100,031
CHICAGO,9951.0,Northwest Hwy & Foster,FOSTER,NS,,SEB,NORTHWEST HWY,68,POINT (-87.76971725200002 41.975799300000006),693.0,17,1102,11,Census Tract 1102,11,17031110200,,110200,031
CHICAGO,2208.0,King Drive & 41st Street,41ST STREET,FS,,SB,KING DRIVE,3,POINT (-87.617012762 41.82005980399998),169.0,17,8359,38,Census Tract 8359,38,17031835900,,835900,031
CHICAGO,4254.0,California & 24th Boulevard,24TH BOULEVARD,NS,,SB,CALIFORNIA,94,POINT (-87.695419351 41.847993815999985),214.0,17,8407,30,Census Tract 8407,30,17031840700,,840700,031
CHICAGO,1034.0,Sheridan & Glenlake,GLENLAKE,FS,,SB,SHERIDAN,"136,147,151",POINT (-87.655528 41.992166999999995),207.0,17,301.01,77,Census Tract 301.01,77,17031030101,,030101,031
CHICAGO,1110.0,Michigan & Jackson,JACKSON,NS,N4,SB,MICHIGAN,"3,4,J14,26,143,147",POINT (-87.62444599999998 41.87842899999998),375.0,17,3204,32,Census Tract 3204,32,17031320400,,320400,031
CHICAGO,1403.0,Lincoln & Armitage/Sedgwick,ARMITAGE/SEDGWICK,NS,,SEB,LINCOLN,37,POINT (-87.63911088700002 41.91843824900002),746.0,17,713,7,Census Tract 713,7,17031071300,,071300,031
CHICAGO,4730.0,Pulaski & 71st Street,71ST STREET,NS,,SB,PULASKI,53A,POINT (-87.72252053199998 41.76419969599999),329.0,17,6505,65,Census Tract 6505,65,17031650500,,650500,031
CHICAGO,10228.0,Cicero & North Ave,NORTH AVENUE,FS,,SB,CICERO,54,POINT (-87.74625586500002 41.909315616000015),612.0,17,2508,25,Census Tract 2508,25,17031250800,,250800,031
CHICAGO,4726.0,Pulaski & 63rd Street,63RD STREET,NS,,SB,PULASKI,53A,POINT (-87.72291680000001 41.778780977999986),302.0,17,6502,65,Census Tract 6502,65,17031650200,,650200,031
CHICAGO,14817.0,Halsted & 87th Street,87TH STREET,FS,,SB,HALSTED,8A,POINT (-87.64373437900002 41.73557287800003),545.0,17,7114,71,Census Tract 7114,71,17031711400,,711400,031
CHICAGO,11873.0,California & Pratt,PRATT,NS,,SB,CALIFORNIA,93,POINT (-87.69989500100002 42.00492300000002),31.0,17,203.01,2,Census Tract 203.01,2,17031020301,,020301,031
CHICAGO,3175.0,California & Chicago,CHICAGO,FS,,NB,CALIFORNIA,94,POINT (-87.69662499999998 41.89583299999998),556.0,17,2426,24,Census Tract 2426,24,17031242600,,242600,031
CHICAGO,4556.0,Austin & 55th Street,55TH STREET,FS,,SB,AUSTIN,55A,POINT (-87.77213299900001 41.792355999999984),602.0,17,5611,56,Census Tract 5611,56,17031561100,,561100,031
CHICAGO,2334.0,State & 31st Street,31ST STREET,NS,,NB,STATE,"29,31",POINT (-87.62643615100001 41.838196837),24.0,17,8420,35,Census Tract 8420,35,17031842000,,842000,031
CHICAGO,10422.0,Cicero & Peterson,PETERSON,NS,,NB,CICERO,54A,POINT (-87.74818429800001 41.98973747000002),713.0,17,1203,12,Census Tract 1203,12,17031120300,,120300,031
CHICAGO,1115.0,State & Adams,ADAMS,NS,,NB,STATE,"2,10,29,146,147,148,151",POINT (-87.62760970199997 41.879401410000014),375.0,17,3204,32,Census Tract 3204,32,17031320400,,320400,031
CHICAGO,9857.0,Harlem & Peterson,PETERSON,NS,,SB,HARLEM,88,POINT (-87.806938 41.990076999999985),734.0,17,1003,10,Census Tract 1003,10,17031100300,,100300,031
CHICAGO,15301.0,Kedzie & 16th Street,16TH STREET,FS,,SB,KEDZIE,52,POINT (-87.705533865 41.85888217600001),34.0,17,8415,29,Census Tract 8415,29,17031841500,,841500,031
CHICAGO,4447.0,Archer & Senour,SENOUR,NS,N62,NEB,ARCHER,62,POINT (-87.65063479999998 41.84508805799999),60.0,17,8402,60,Census Tract 8402,60,17031840200,,840200,031
CHICAGO,2370.0,State & Marina City,MARINA CITY,MB,,SB,STATE,"29,36,62",POINT (-87.628172 41.88835),679.0,17,816,8,Census Tract 816,8,17031081600,,081600,031
UNINCORPORATED,8440.0,Western & 90th Street,90TH STREET,NT,,SB,WESTERN,95,POINT (-87.68255133500003 41.730041597000024),,,,,,,,,,
