Station Name,Tract
Ashland Ave & Archer Ave,
California Ave & Altgeld St,
Pulaski Rd & 21st St,
Rockwell St & 63rd St,
Damen Ave & Cortland St,
Troy St & North Ave,
Bernard St & Elston Ave,
Kimbark Ave & 53rd St,
Wolcott (Ravenswood) Ave & Montrose Ave,
Springfield Ave & North Ave,
Ogden Ave & Chicago Ave,
Plainfield & Irving Park,
Michigan Ave & 18th St,
Glenwood Ave & Touhy Ave,
University Ave & 57th St,
Stave St & Armitage Ave,
Kedzie Ave & 48th Pl,
Clinton St & Tilden St,
Fairfield Ave & Roosevelt Rd,
Emerald Ave & 31st St,
Aberdeen St & Monroe St,
Michigan Ave & Oak St,
Leavitt St & North Ave,
Karlov Ave & Madison St,
Avondale Ave & Irving Park Rd,
Dayton St & North Ave,
Ashland Ave & 13th St,
Conservatory Dr & Lake St,
DuSable Lake Shore Dr & Belmont Ave,
Clarendon Ave & Leland Ave,
Halsted St & 37th St,
California Ave & 29th St,
Sheridan Rd & Montrose Ave,
Fort Dearborn Dr & 31st St,
N Carpenter St & W Lake St,
Damen Ave & 81st St,
Kilbourn & Belden,
Ritchie Ct & Banks St,
Elizabeth St & Randolph St,
Francisco Ave & Bloomingdale Ave,
Vernon Ave & 75th St,
Clark St & Lincoln Ave,
Mies van der Rohe Way & Chestnut St,
Clinton St & 18th St,
Western Ave & 62nd St,
Sheffield Ave & Fullerton Ave,
Dearborn St & Van Buren St,
Clark St & Armitage Ave,
Damen Ave & Leland Ave,
Damen Ave & 33rd St,
Daley Center Plaza,
Narragansett & McLean,
Damen Ave & Charleston St,
Laramie Ave & Kinzie St,
Streeter Dr/Grand Ave,
Central Park Ave & 24th St,
Wood St & Webster Ave,
Southport Ave & Roscoe St,
Clark St & Berwyn Ave,
Union Ave & Root St,
Larrabee St & Armitage Ave,
Warren Park West,
Eberhart Ave & 61st St,
MLK Jr Dr & 56th St,
Western Ave & 104th St,
Lockwood Ave & Wrightwood Ave,
Francisco Ave & 47th St,
Michigan Ave & Ida B Wells Dr,
LaSalle Dr & Huron St,
Field Museum,
Lake Park Ave & 47th St,
Blackstone Ave & 59th St,
Wilton Ave & Diversey Pkwy,
N Sheffield Ave & W Wellington Ave,
Washtenaw Ave & Madison St,
Cottage Grove Ave & 51st St,
Kildare Ave & 26th St,
Throop St & 52nd St,
Wabash Ave & Adams St,
Lincoln Ave & Waveland Ave,
Ellis Ave & 55th St,
Albany Ave & Douglas Blvd,
Lavergne Ave & Division St,
Western Ave & Lake St,
California Ave & 36th St,
Woodlawn Ave & 75th St,
California Ave & Division St,
Michigan Ave & Pearson St,
Phillips Ave & 83rd St,
Wabash Ave & 9th St,
Clark St & Schreiber Ave,
Paulina St & Montrose Ave,
Dorchester Ave & 63rd St,
Central Ave & Madison St,
Sheffield Ave & Willow St,
Broadway & Wilson Ave,
Ashland Ave & Grace St,
Sheffield Ave & Waveland Ave,
Central Ave & Chicago Ave,
Wolcott Ave & Polk St,
Morgan St & Lake St*,
Talman Ave & Addison St,
Stewart Ave & 83rd St,
Cannon Dr & Fullerton Ave,
Lincoln Ave & Diversey Pkwy,
Western Ave & Howard St,
Central St Metra,809100
La Villita Park (Albany/30th),
Keeler Ave & Roosevelt Rd,
Harding Ave & 26th St,
Western Ave & Berteau Ave,
Michigan Ave & Lake St,
Narragansett & Wrightwood,
Stewart Ave & 63rd St,
Troy St & Grace St,
Racine Ave & 18th St,
Orange & Addison,
DuSable Lake Shore Dr & Diversey Pkwy,
McCormick Blvd & Devon Ave,
Broadway & Ridge Ave,
Racine Ave & Congress Pkwy,
S Aberdeen St & W 106th St,
Cityfront Plaza Dr & Pioneer Ct,
Campbell Ave & Irving Park Rd,
Wabash Ave & 16th St,
Benson Ave & Church St,809402
Southport Ave & Irving Park Rd,
Monticello Ave & Lawrence Ave,
Oakley Ave & Touhy Ave,
Kilpatrick Ave & Grand Ave,
Calumet Ave & 33rd St,
Racine Ave & Fullerton Ave,
Woodlawn & 103rd,
Meade Ave & Diversey Ave,
Marshfield Ave & 44th St,
May St & Taylor St,
Wolcott Ave & Fargo Ave,
Central Ave & Wellington Ave,
Ashland Ave & Blackhawk St,
Morgan St & Polk St,
Calumet Ave & 35th St,
Larrabee St & North Ave,
Panama Ave & Grace St,
Komensky Ave & 55th St,
Honore St & Division St,
California Ave & Granville Ave,
Shedd Aquarium,
Ping Tom Park (East),
Wood St & Taylor St (Temp),
Lamon Ave & Chicago Ave,
Morgan Ave & 14th Pl,
N Southport Ave & W Newport Ave,
Damen Ave & Chicago Ave,
Mason Ave & Belmont Ave,
Ellis Ave & 58th St,
Racine Ave & 65th St,
Elston Ave & Henderson St,
Greenwood Ave & 47th St,
Long Ave & Belden Ave,
Wells St & 19th St,
Aberdeen St & Jackson Blvd,
Commercial Ave & 83rd St,
California Ave & 71st St,
Winthrop Ave & Lawrence Ave,
Sheridan Rd & Greenleaf Ave,
Menard Ave & North Ave,
Francisco Ave & Hollywood Ave,
Lakeview Ave & Fullerton Pkwy,
Central Ave & Harrison St,
Larrabee St & Kingsbury St,
Canal St & Jackson Blvd,
State St & 95th St,
Franklin St & Lake St,
Green St & Randolph St*,
Drexel Ave & 60th St,
Aberdeen St & Randolph St,
Lawler Ave & 50th St,
Southport Ave & Wrightwood Ave,
Kildare Ave & 85th St,
Canal St & Harrison St,
Kildare Ave & Chicago Ave,
Wells St & Concord Ln,
California Ave & Milwaukee Ave,
Buckingham Fountain,
Halsted St & Polk St,
Western Ave & 21st St,
Major Ave & Bloomingdale Ave,
Sheridan Rd & Lawrence Ave,
W Oakdale Ave & N Broadway,
Rhodes Ave & 32nd St,
Tripp Ave & 15th St,
Campbell Ave & 51st St,
Green St & Madison St,
State St & Harrison St,
Kilbourn Ave & Belden Ave,
South Shore Dr & 67th St,
Leavitt St & Division St,
Wilton Ave & Diversey Pkwy*,
Halsted St & Maxwell St,
Woodlawn Ave & 55th St,
Shields Ave & 28th Pl,
Rhodes Ave & 71st St,
Seeley Ave & Roscoe St,
Wells St & Evergreen Ave,
Halsted St & 59th St,
Hoyne Ave & 34th St,
Milwaukee Ave & Fullerton Ave,
Kedzie Ave & 83rd St,
Maplewood Ave & 59th St,
MLK Jr Dr & 29th St,
Central Park Ave & Bloomingdale Ave,
Harlem & Irving Park,
Lincoln Ave & Sunnyside Ave,
Prospect Sq & 91st St,
Clark St & 9th St (AMLI),
Damen Ave & Pershing Rd,
Leavitt St & Lawrence Ave,
Eggleston Ave & 69th St,
Chicago Ave & Washington St,810000
Larrabee St & Oak St,
Cottage Grove Ave & 71st St,
Financial Pl & Ida B Wells Dr,
Indiana Ave & 103rd St,
Perry Ave & 69th St,
Jeffery Blvd & 71st St,
Christiana Ave & Lawrence Ave,
New St & Illinois St,
Troy Ave & 27th St,
Kedzie Ave & 57th St,
Clark St & Wrightwood Ave,
2112 W Peterson Ave,
Ashland Ave & Grand Ave,
Troy St & Jackson Blvd,
Loomis St & Jackson Blvd,
Kostner Ave & Adams St,
Campbell Ave & North Ave,
Western Ave & Lunt Ave,
Lincolnwood Dr & Central St,808900
Seeley Ave & Garfield Blvd,
Emerald Ave & 28th St,
DuSable Lake Shore Dr & Monroe St,
Cicero Ave & Roscoe Ave,
Cottage Grove Ave & Oakwood Blvd,
Stetson Ave & South Water St,
Wabash Ave & Cermak Rd,
Albany Ave & 16th St,
Broadway & Belmont Ave,
Wabash Ave & Wacker Pl,
Morgan St & 18th St,
Western Ave & Fillmore St,
Michigan Ave & 71st St,
Central Park & Augusta Blvd,
Leavitt St/North Ave,
Clinton St & Jackson Blvd,
Dearborn St & Erie St,
Normal Ave & Archer Ave,
Hastings LWS,
Kildare & Cermak,
Washtenaw Ave & Peterson Ave,
Franklin St & Monroe St,
State St & 76th St,
Broadway & Waveland Ave,
Ravenswood Ave & Lawrence Ave,
Sheridan Rd & Noyes St (NU),808800
Mozart St & 79th St,
Yates Blvd & 93rd St,
Lavergne Ave & 46th St,
Bosworth Ave & Howard St,
Franklin St & Jackson Blvd,
Western Ave & Winnebago Ave,
Indiana Ave & 31st St,
Eckhart Park,
Kenneth Ave & 50th St,
Central Ave & Lake St,
Leavitt St & Armitage Ave,
Ashland Ave & Division St,
Dodge Ave & Church St,809600
Delano Ct & Roosevelt Rd,
Burnham Harbor,
Albany Ave & Belmont Ave,
Elizabeth St & 47th St,
Long Ave & Belmont Ave,
Clinton St & Roosevelt Rd,
Carpenter St & 63rd St,
Winchester (Ravenswood) Ave & Balmoral Ave,
Roscoe & Harlem,
Ravenswood Ave & Berteau Ave,
S Michigan Ave & E 118th St,
Western Ave & Roscoe St,
Virginia Ave & Catalpa Ave,
Albany Ave & Montrose Ave,
Wabash Ave & Roosevelt Rd,
Fairfield Ave & 44th St,
Orleans St & Merchandise Mart Plaza,
Ridge Blvd & Howard St,
Milwaukee Ave & Wabansia Ave,
Clark St & Grace St,
Wells St & Walton St,
Lamon Ave & Belmont Ave,
Harlem Ave & Grace St,
Karlov Ave & Lawrence Ave,
Albany Ave & 26th St,
Kedzie Ave & 66th Pl,
Vincennes Ave & 75th St,
Artesian Ave & 71st St,
Western Ave & 24th St,
Clinton St & Madison St,
Clark St & Schiller St,
State St & Randolph St,
State St & 29th St,
S Wentworth Ave & W 111th St,
Milwaukee Ave & Grand Ave,
Marine Dr & Ainslie St,
Broadway & Sheridan Rd,
Malcolm X College,
Damen Ave & Madison St,
Sacramento Blvd & Fulton Ave,
Clifton Ave & Armitage Ave,
Cottage Grove Ave & 83rd St,
Canal St & Taylor St,
Halsted St & Roscoe St,
Central Park Ave & Douglas Blvd,
Greenview Ave & Jarvis Ave,
Indiana Ave & Roosevelt Rd,
Broadway & Cornelia Ave,
Western Ave & Gunnison St,
Stony Island Ave & 71st St,
N Green St & W Lake St,
Elston Ave & Wabansia Ave,
Kildare Ave & Division St,
Adler Planetarium,
Clark St & Ida B Wells Dr,
Sheffield Ave & Webster Ave,
Damen Ave & Pierce Ave,
Paulina Ave & North Ave,
Artesian Ave & Hubbard St,
Sacramento Blvd & Addison St,
Tripp Ave & 31st St,
Elmwood Ave & Austin St,810200
Damen Ave & Clybourn Ave,
MLK Jr Dr & Pershing Rd,
Kilbourn Ave & Irving Park Rd,
Cottage Grove Ave & 43rd St,
Knox Ave & Montrose Ave,
Kedzie Ave & 52nd St,
900 W Harrison St,
Sangamon St & Washington Blvd,
Broadway & Argyle St,
Nordica & Medill,
Sedgwick St & Schiller St,
Paulina Ave & 87th St,
Wood St & Milwaukee Ave,
Clark St & Bryn Mawr Ave,
Morgan St & 31st St,
Montrose Harbor,
Kostner Ave & Lake St,
Clinton St & Lake St,
Columbus Ave & 79th St,
Kedzie Ave & 45th St,
Wood St & Chicago Ave,
Paulina St & 18th St,
Halsted St & Roosevelt Rd,
Homan Ave & Fillmore St,
Kedzie Ave & 73rd St,
Marshfield Ave & 59th St,
Elston Ave & George St,
Stony Island Ave & 64th St,
Racine Ave & 13th St,
Kenosha Ave & Wellington Ave,
Oak Park & Wellington,
Kildare Ave & 55th St,
Shields Ave & 31st St,
State St & 33rd St,
Whipple St & Roosevelt Rd,
Ashland Ave & 63rd St,
Ashland Ave & Garfield Blvd,
Maryland Ave & 104th St,
W Armitage Ave & N Sheffield Ave,
Leamington Ave & Hirsch St,
Stockton Dr & Wrightwood Ave,
Hamlin Ave & 62nd Pl,
Oketo Ave & Addison St,
Wabash Ave & Grand Ave,
Damen Ave & Thomas St (Augusta Blvd),
Laramie Ave & Madison St,
May St & 69th St,
Blue Island Ave & 18th St,
Clarendon Ave & Junior Ter,
Millennium Park,
Western Ave & Division St,
Southport Ave & Clark St,
Hamlin Ave & Grand Ave,
Drake Ave & Addison St,
Pulaski Rd & 84th St,
Stony Island Ave & South Chicago Ave,
Orleans St & Elm St,
Lincoln Ave & Balmoral Ave,
Cicero Ave & Lake St,
Wells St & Elm St,
Claremont Ave & Hirsch St,
Lawndale Ave & 30th St,
Stony Island Ave & 63rd St,
Rockwell St & Fletcher St,
Hampden Ct & Diversey Ave,
Cicero Ave & Grace St,
Calumet Ave & 71st St,
Long & Irving Park,
Calumet Park,
Racine Ave & 57th St,
California Ave & Marquette Rd,
Springfield Ave & 71st St,
Avenue L & 114th St,
Dodge Ave & Mulford St,810301
Sheridan Rd & Columbia Ave,
Ashland Ave & Lake St,
Racine Ave & Wrightwood Ave,
Parkside Ave & Armitage Ave,
Sedgwick St & Webster Ave,
Archer Ave & 43rd St,
Dauphin Ave & 87th St,
Francisco Ave & Chicago Ave,
Bennett Ave & 79th St,
Sacramento Ave & 25th St,
Kedzie Ave & Milwaukee Ave,
Central Park Ave & Ohio St,
Ellis Ave & 83rd St,
Lincoln Ave & Peterson Ave,
Greenview Ave & Fullerton Ave,
Southport Ave & Waveland Ave,
Austin Blvd & Madison St,
Major Taylor Trail & 115th St,
Indiana Ave & 26th St,
Rockwell St & Archer Ave,
State St & 79th St,
Throop St & Taylor St,
Karlov Ave & Armitage Ave,
Morgan St & Pershing Rd,
Kildare Ave & Montrose Ave,
University Ave & 59th St,
Paulina St & Howard St,
Halsted St & Clybourn Ave,
Theater on the Lake,
Hoyne Ave & Balmoral Ave,
Milwaukee Ave & Cuyler Ave,
Avers Ave & Belmont Ave,
Valli Produce - Evanston Plaza,809700
Mozart St & Jackson Blvd,
Central Ave & Parker Ave,
N Paulina St & Lincoln Ave,
