ID,Tract,latitude,longitude
30082,813702,41.85182, -87.745336
30151,844700,41.853839, -87.714842
30184,680900,41.778943, -87.644244
30044,760801,41.984246, -87.838028
30092,832900,41.87592, -87.659458
30253,831900,41.943623, -87.670907
30162,310800,41.857908, -87.669147
30374,839100,41.885737, -87.630886
30248,110502,41.970634, -87.760892
30104,063000,41.932732, -87.653131
30287,830800,41.961756, -87.675047
30068,841900,41.875474, -87.649707
30214,842000,41.831677, -87.625826
30102,809300,42.05416, -87.68356
30008,839100,41.878723, -87.63374
30070,061500,41.943744, -87.663619
30252,010503,42.001073, -87.661061
30237,835500,41.810318, -87.63094
30267,030701,41.983504, -87.65884
30190,816100,41.87349, -87.806961
30173,010202,42.019063, -87.672892
30207,837100,41.884321, -87.706155
30218,420700,41.78013, -87.615546
30057,671100,41.77886, -87.663766
30088,834000,41.722377, -87.624342
30129,222200,41.916157, -87.687364
30128,071100,41.918217, -87.652644
30089,834000,41.722377, -87.624342
30269,330200,41.867368, -87.627402
30256,063000,41.939751, -87.65338
30114,813701,41.85177331, -87.75669201
30217,420700,41.78013, -87.615546
30134,809401,42.041655, -87.681602
30236,071100,41.925051, -87.652866
30149,031200,41.969139, -87.658493
30158,838100,41.875706, -87.673932
30290,320102,41.884809, -87.627813
30047,842400,41.750419, -87.625112
30243,251400,41.887293, -87.774135
30084,841900,41.875539, -87.640984
30231,063000,41.936033, -87.653266
30175,010202,42.019063, -87.672892
30263,812301,41.886988, -87.793783
30130,222200,41.916157, -87.687364
30268,030701,41.983504, -87.65884
30279,081500,41.896671, -87.628176
30155,080400,41.910409, -87.639302
30239,160900,41.94738, -87.71906
30288,830800,41.961756, -87.675047
30015,839100,41.878183, -87.629296
30202,844700,41.853964, -87.705408
30154,839100,41.880703, -87.629378
30195,040700,41.966115, -87.6941
30041,310900,41.854517, -87.675975
30180,260700,41.873797, -87.725663
30101,809300,42.05416, -87.68356
30004,812301,41.886848, -87.803176
30384,320102,41.88322, -87.626189
30266,837100,41.88422, -87.696234
30021,010600,42.008362, -87.665909
30060,630600,41.804546, -87.684019
30096,842300,41.891189, -87.647578
30375,839100,41.885737, -87.630886
30095,842300,41.891189, -87.647578
30062,242000,41.903355, -87.666496
30185,620200,41.799756, -87.724493
30161,310800,41.857908, -87.669147
30293,832100,41.953775, -87.654929
30272,243500,41.896075, -87.655214
30090,081700,41.888969, -87.633924
30061,630600,41.804546, -87.684019
30171,980000,41.97766526, -87.90422307
30245,835800,41.816462, -87.619021
30093,832900,41.87592, -87.659458
30265,837100,41.88422, -87.696234
30063,242000,41.903355, -87.666496
30036,340500,41.831191, -87.630636
30083,813702,41.85182, -87.745336
30198,220602,41.929728, -87.708541
30020,010600,42.008362, -87.665909
30115,241400,41.909744, -87.677437
30156,080400,41.910409, -87.639302
30240,160900,41.94738, -87.71906
30032,280400,41.885269, -87.666969
30108,161000,41.952925, -87.729229
30386,830700,41.964273, -87.657588
30193,841100,41.853206, -87.630968
30262,839100,41.875568, -87.631722
30169,030101,41.990259, -87.659076
30046,842400,41.750419, -87.625112
30147,030102,41.993664, -87.659202
30014,839100,41.878183, -87.629296
30274,061000,41.947428, -87.653626
30085,841900,41.875539, -87.640984
