Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
190900,4156.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,1.0,12.0,13.0,0.043329
191000,2731.0,0.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,31.0,0.103323
191100,20244.0,6.88,1.0,0.0,0.0,23.0,13.0,0.0,0.0,2.0,6.0,10.0,0.036663
191200,8254.0,0.0,0.0,0.0,0.0,21.0,19.0,0.0,0.0,1.0,4.0,21.0,0.069993
191301,10810.0,0.4,1.0,0.0,0.0,20.0,14.0,0.0,0.0,0.0,0.0,14.0,0.049995000000000005
191302,9698.0,0.0,0.0,0.0,0.0,18.0,14.0,0.0,0.0,2.0,10.0,16.0,0.053328
200100,11019.0,2.94,1.0,0.0,0.0,6.0,6.0,0.0,0.0,1.0,5.0,5.0,0.019998
200200,12744.0,9.92,1.0,0.0,0.0,12.0,11.0,0.0,0.0,2.0,12.0,9.0,0.03333
200300,1977.0,0.0,0.0,0.0,0.0,10.0,19.0,0.0,0.0,0.0,0.0,38.0,0.126654
200401,9807.0,4.9,1.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,16.0,4.0,0.016665
200402,10358.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,0.0,1.0,3.0,8.0,0.026664
210100,12486.0,7.17,1.0,0.0,0.0,16.0,15.0,0.0,0.0,4.0,28.0,13.0,0.046662
210400,2325.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,30.0,0.09999
210501,2719.0,0.0,0.0,0.0,0.0,14.0,19.0,0.0,0.0,0.0,0.0,39.0,0.129987
210502,4652.0,0.0,0.0,0.0,0.0,7.0,6.0,0.0,0.0,0.0,0.0,12.0,0.039996
210601,6052.0,0.0,0.0,0.0,0.0,8.0,10.0,2.0,21.0,0.0,0.0,13.0,0.043329
210602,8256.0,0.0,0.0,0.0,0.0,14.0,13.0,0.0,0.0,1.0,4.0,14.0,0.046662
