NAME,Total Pop (#)_2012,Total HH (#)_2012,Home: Owner_2012,Home: Renter_2012,Race: White_2012,Race: Black/AA_2012,Race: AI/Alaskan_2012,Race: Asian_2012,Race: Hawaiian/PI_2012,Race: Other_2012,Ethnicty: Hisp._2012,Ethnicity: Non-Hisp._2012,Edu: < 9th grade_2012,"Edu: HS, no diploma_2012",Edu: HS Diploma_2012,Edu: Associate's Degree_2012,Edu: Bachelor's Degree_2012,Edu: Grad/Prof Degree_2012,Median HH Income ($)_2012,Age: 18+_2012,Age: 65+_2012,tract,Total Pop (#)_2017,Total HH (#)_2017,Home: Owner_2017,Home: Renter_2017,Race: White_2017,Race: Black/AA_2017,Race: AI/Alaskan_2017,Race: Asian_2017,Race: Hawaiian/PI_2017,Race: Other_2017,Ethnicty: Hisp._2017,Ethnicity: Non-Hisp._2017,Edu: < 9th grade_2017,"Edu: HS, no diploma_2017",Edu: HS Diploma_2017,Edu: Associate's Degree_2017,Edu: Bachelor's Degree_2017,Edu: Grad/Prof Degree_2017,Median HH Income ($)_2017,Age: 18+_2017,Age: 65+_2017,Total Pop (#)_2022,Total HH (#)_2022,Home: Owner_2022,Home: Renter_2022,Race: White_2022,Race: Black/AA_2022,Race: AI/Alaskan_2022,Race: Asian_2022,Race: Hawaiian/PI_2022,Race: Other_2022,Ethnicty: Hisp._2022,Ethnicity: Non-Hisp._2022,Edu: < 9th grade_2022,"Edu: HS, no diploma_2022",Edu: HS Diploma_2022,Edu: Associate's Degree_2022,Edu: Bachelor's Degree_2022,Edu: Grad/Prof Degree_2022,Median HH Income ($)_2022,Age: 18+_2022,Age: 65+_2022
"Census Tract 8171.02, Cook County, Illinois",3499.0,1036.0,75.3,24.7,3.6,88.9,0.5,0.0,0.0,8.7,10.3,89.7,4.2,4.8,36.5,8.6,10.6,10.5,54318.0,74.8,8.5,817102,3347.0,1054.0,76.1,23.9,22.2,76.2,0.3,0.0,0.0,3.0,11.6,88.4,5.3,6.9,34.2,7.1,9.1,5.9,62500.0,75.5,14.3,2956,1039,66.3,33.7,0.0,0.0,0.0,4.2,2956,4.6,0.4,83.1,4.5,10.2,30.5,15.0,15.0,2.7,65186,82.2,16.1
"Census Tract 8124, Cook County, Illinois",3333.0,1174.0,86.5,13.5,83.1,14.8,0.0,3.1,0.0,0.5,2.7,97.3,0.0,0.0,4.7,4.5,32.0,50.2,159800.0,72.7,11.3,812400,3384.0,1121.0,87.8,12.2,84.6,7.9,0.0,10.3,0.7,0.6,3.6,96.4,0.0,0.7,4.6,2.2,27.9,53.8,182969.0,69.7,11.8,3276,1115,90.0,10.0,3.5,11.0,1.0,3.1,3276,5.0,0.0,4.6,0.0,1.0,3.5,1.8,31.6,54.6,223125,69.0,16.1
"Census Tract 8145, Cook County, Illinois",4840.0,1326.0,73.0,27.0,59.8,3.1,1.9,0.7,0.0,37.6,81.9,18.1,16.5,10.9,37.1,6.2,11.8,1.4,54773.0,71.1,12.1,814500,5576.0,1455.0,75.3,24.7,47.7,2.9,1.2,0.0,0.0,49.9,86.8,13.2,23.4,11.6,29.5,4.6,11.0,1.8,63570.0,75.0,13.0,5539,1486,76.0,24.0,0.6,0.9,0.1,56.5,5539,80.8,2.0,1.8,20.3,9.5,31.2,5.8,9.2,3.9,74151,72.1,14.4
"Census Tract 8157.01, Cook County, Illinois",4037.0,1429.0,83.1,16.9,89.2,0.9,0.4,1.9,2.9,6.0,13.3,86.7,0.7,2.6,15.9,6.8,27.1,31.2,97064.0,71.0,14.5,815701,3675.0,1309.0,87.3,12.7,95.4,1.3,0.3,1.2,0.0,3.0,13.0,87.0,0.8,1.3,14.1,3.6,38.0,28.2,104174.0,75.0,17.4,3900,1400,92.7,7.3,2.8,3.7,0.0,10.5,3900,24.8,0.3,0.5,2.4,0.6,12.1,4.8,30.1,35.0,136994,74.7,15.9
"Census Tract 8167, Cook County, Illinois",2828.0,735.0,60.4,39.6,54.9,3.9,3.7,1.6,0.0,40.5,83.7,16.3,25.3,15.7,29.1,8.4,8.0,1.8,51645.0,67.9,6.8,816700,2826.0,789.0,60.1,39.9,60.1,8.9,0.0,3.6,0.0,29.4,72.8,27.2,21.0,7.1,35.3,7.1,7.5,1.7,47560.0,70.5,13.7,2929,967,66.4,33.6,1.0,6.9,0.0,47.6,2929,70.2,6.0,3.0,19.7,12.0,32.0,8.4,8.1,1.8,60531,77.7,15.4
"Census Tract 8266, Cook County, Illinois",5907.0,2087.0,59.5,40.5,8.0,92.9,1.8,0.0,0.0,0.0,1.8,98.2,1.8,10.7,32.7,9.2,6.1,7.1,46375.0,73.2,7.1,826600,5965.0,2234.0,51.6,48.4,6.7,92.9,2.4,0.3,0.0,0.4,2.6,97.4,4.2,8.4,32.8,7.3,11.0,4.4,38917.0,70.7,8.1,5027,1612,55.8,44.2,0.0,0.0,0.0,10.6,5027,17.2,0.0,81.4,3.9,5.4,28.1,7.2,9.9,5.3,40729,65.6,8.2
"Census Tract 8268, Cook County, Illinois",4819.0,1600.0,55.0,45.0,35.0,43.3,1.3,0.0,0.0,23.1,44.6,55.4,14.5,13.0,39.4,8.7,7.4,2.0,37143.0,69.6,9.5,826800,5239.0,1548.0,52.6,47.4,38.5,52.0,0.9,0.2,0.0,11.9,38.8,61.2,15.8,9.9,36.9,6.4,5.7,2.9,35601.0,68.7,9.2,5029,1549,51.8,48.2,4.8,0.0,0.0,23.5,5029,51.3,0.7,30.2,14.6,10.1,33.0,6.6,4.3,6.8,52658,71.2,9.6
"Census Tract 8269.02, Cook County, Illinois",994.0,389.0,67.4,32.6,0.2,99.2,0.0,0.6,0.0,0.0,0.0,100.0,3.0,14.2,45.9,2.6,14.6,0.0,31080.0,80.2,16.4,826902,1290.0,570.0,45.8,54.2,1.0,98.3,0.6,0.0,0.0,0.1,1.6,98.4,1.8,20.5,46.6,2.2,4.0,2.6,20167.0,87.8,20.7,1445,406,43.1,56.9,0.0,0.0,0.0,0.0,1445,14.2,0.5,83.9,8.6,4.9,58.0,7.9,4.9,1.6,31544,71.3,10.6
"Census Tract 5102, Cook County, Illinois",3055.0,1128.0,66.8,33.2,18.1,79.2,0.0,0.9,0.0,2.4,14.4,85.6,4.0,8.5,35.6,8.5,6.0,7.9,47841.0,77.4,12.6,510200,2801.0,1038.0,76.8,23.2,27.0,70.0,1.1,1.1,0.0,3.9,25.8,74.2,9.7,10.1,30.9,6.9,8.8,14.3,43289.0,82.9,17.2,4017,1267,67.6,32.4,0.5,0.6,0.0,5.1,4017,20.2,0.0,72.7,6.6,8.1,31.9,7.4,17.0,9.4,46645,76.3,18.4
"Census Tract 5705, Cook County, Illinois",2527.0,725.0,66.8,33.2,55.2,7.9,0.0,4.1,0.0,32.9,66.0,34.0,21.7,16.3,31.5,5.3,6.9,2.0,40456.0,77.1,13.0,570500,2392.0,731.0,44.3,55.7,63.9,1.1,2.9,5.4,0.2,29.7,74.0,26.0,15.5,10.5,40.3,4.4,7.1,3.4,41875.0,68.7,12.0,2621,756,62.7,37.3,0.7,5.8,0.0,30.8,2621,76.1,0.5,0.0,13.7,16.1,39.1,6.4,6.3,2.2,52222,76.8,13.4
"Census Tract 6006, Cook County, Illinois",2343.0,919.0,49.9,50.1,34.7,1.9,5.1,47.8,0.0,12.8,24.5,75.5,17.4,12.9,37.0,5.4,9.6,7.0,34479.0,81.5,9.0,600600,2992.0,998.0,44.8,55.2,42.0,3.0,0.3,39.7,0.0,15.3,39.1,60.9,22.1,11.9,34.2,7.4,9.7,5.6,34069.0,78.1,10.9,3061,1188,55.9,44.1,0.0,42.8,0.3,13.9,3061,29.2,2.2,0.0,15.1,9.3,32.9,6.2,16.1,8.3,51250,83.6,14.1
"Census Tract 6112, Cook County, Illinois",2343.0,622.0,46.9,53.1,45.7,21.5,1.5,0.6,0.0,30.6,72.5,27.5,33.8,24.0,22.5,1.0,7.6,0.6,32262.0,67.8,3.3,611200,2545.0,708.0,24.0,76.0,54.9,19.0,0.2,0.5,0.0,27.7,72.0,28.0,17.3,7.4,58.0,0.7,3.7,1.9,27697.0,67.3,11.6,2033,796,35.8,64.2,2.3,0.4,0.0,36.4,2033,72.7,6.3,17.0,20.5,11.0,46.1,6.4,5.3,3.3,29470,75.9,12.9
"Census Tract 5501, Cook County, Illinois",7497.0,2641.0,65.7,34.3,73.9,17.3,0.5,0.5,0.0,11.3,49.4,50.6,8.7,13.0,30.4,6.9,13.8,4.9,43358.0,71.0,13.6,550100,6523.0,2449.0,65.2,34.8,90.9,5.4,0.3,0.3,0.0,4.0,56.2,43.8,10.0,5.1,39.5,7.7,9.2,4.5,56445.0,81.0,11.3,6494,2717,61.8,38.2,0.1,0.4,0.0,22.4,6494,49.5,6.0,9.4,6.8,7.4,40.9,4.0,9.4,8.1,57780,76.7,15.5
"Census Tract 5602, Cook County, Illinois",1997.0,597.0,74.7,25.3,14.5,83.7,0.0,0.5,0.0,1.6,8.4,91.6,3.8,18.2,48.1,6.7,4.3,1.1,47917.0,69.6,17.9,560200,1724.0,600.0,82.7,17.3,26.6,62.1,0.4,0.4,0.0,11.2,30.6,69.4,9.1,11.0,39.2,7.5,10.9,5.8,48333.0,82.4,20.5,1547,562,80.6,19.4,1.4,0.6,2.7,18.8,1547,35.8,1.3,58.6,5.9,10.2,42.8,7.5,10.1,6.9,48906,73.9,20.8
"Census Tract 5604, Cook County, Illinois",1422.0,397.0,98.0,2.0,56.8,0.0,0.9,8.2,0.0,34.1,57.7,42.3,16.6,27.0,27.3,3.1,7.7,3.4,64904.0,87.2,14.1,560400,1727.0,456.0,91.0,9.0,66.1,3.4,2.1,4.9,0.0,24.7,71.8,28.2,25.9,9.9,27.6,3.8,10.2,2.3,52969.0,75.0,11.4,1608,480,94.0,6.0,1.8,5.6,0.0,33.6,1608,74.8,0.0,0.0,18.1,18.5,36.9,2.1,12.0,4.5,68750,75.1,15.9
"Census Tract 5701, Cook County, Illinois",1172.0,390.0,70.0,30.0,83.4,0.0,8.3,0.3,0.9,10.4,77.1,22.9,16.5,21.4,31.7,11.9,6.1,1.7,52115.0,78.9,8.4,570100,1294.0,385.0,61.3,38.7,52.9,1.9,5.4,10.0,0.0,33.8,71.5,28.5,21.7,9.3,32.5,5.3,10.0,0.9,54792.0,72.0,4.8,1321,446,76.5,23.5,1.9,10.4,0.0,44.2,1321,78.7,0.0,0.0,23.6,7.3,33.4,8.4,8.6,5.0,56471,73.8,9.7
"Census Tract 5808, Cook County, Illinois",1833.0,494.0,35.2,64.8,77.8,0.9,2.1,0.0,0.0,19.2,94.2,5.8,29.7,12.8,32.2,0.8,6.8,0.3,27656.0,64.4,4.6,580800,2123.0,550.0,38.0,62.0,52.6,0.2,2.4,0.6,0.0,44.9,94.7,5.3,34.5,12.3,33.5,3.7,4.4,1.7,40238.0,72.4,5.4,2110,537,60.1,39.9,2.8,3.3,0.0,59.8,2110,95.5,0.9,0.0,31.8,10.4,36.8,1.7,9.8,2.7,52324,78.4,8.4
"Census Tract 8264.01, Cook County, Illinois",4550.0,1378.0,73.5,26.5,4.9,95.0,0.0,0.4,0.0,1.3,1.4,98.6,2.2,7.0,31.2,9.5,10.8,7.5,53165.0,68.2,7.4,826401,3927.0,1338.0,57.8,42.2,6.7,91.6,0.3,0.3,0.0,1.0,5.6,94.4,3.8,7.8,25.9,10.4,14.4,2.6,52021.0,76.8,10.0,3745,1306,71.8,28.2,0.5,0.3,0.0,2.0,3745,2.8,0.0,95.1,1.1,4.7,33.0,9.0,12.4,3.9,51250,71.5,11.0
"Census Tract 8269.01, Cook County, Illinois",1789.0,628.0,55.9,44.1,9.0,88.9,0.4,0.0,0.0,7.0,2.6,97.4,2.0,13.2,32.5,1.9,9.4,4.7,31111.0,67.1,15.2,826901,1767.0,741.0,47.9,52.1,11.8,72.0,0.0,0.0,0.0,16.5,28.2,71.8,4.0,18.9,49.0,3.1,2.6,1.3,17679.0,71.5,16.2,1734,681,37.4,62.6,3.0,0.0,0.0,7.7,1734,18.2,0.0,74.7,10.4,11.2,47.4,2.4,5.6,3.3,27845,77.7,8.8
"Census Tract 8270, Cook County, Illinois",3738.0,1225.0,49.1,50.9,1.0,95.7,0.0,0.2,0.0,3.2,3.5,96.5,7.2,13.4,40.8,7.7,5.7,3.7,24768.0,69.5,9.6,827000,3641.0,1325.0,54.3,45.7,6.7,87.6,0.5,0.2,0.0,5.6,10.5,89.5,6.6,12.7,27.4,6.7,12.1,4.1,29461.0,72.1,11.2,3660,1255,51.4,48.6,0.2,0.8,0.0,0.5,3660,2.2,0.0,95.2,3.7,6.1,39.7,7.4,7.0,5.6,40012,81.6,15.1
"Census Tract 8345, Cook County, Illinois",1634.0,472.0,36.4,63.6,6.4,97.4,1.5,0.0,0.0,1.0,4.1,95.9,1.4,26.2,38.7,7.0,5.1,5.8,23913.0,60.6,4.5,834500,1273.0,469.0,15.4,84.6,0.0,100.0,2.2,0.0,0.0,0.0,0.0,100.0,6.3,4.7,29.4,8.6,12.5,10.8,31483.0,67.4,5.3,1434,482,5.8,94.2,0.0,0.0,0.0,6.1,1434,0.0,0.0,93.1,0.0,12.4,24.7,3.3,3.0,3.5,34261,64.6,3.6
"Census Tract 8346, Cook County, Illinois",3110.0,1005.0,26.1,73.9,0.5,99.5,0.4,0.0,0.0,0.0,0.0,100.0,3.2,21.0,31.5,6.6,3.8,2.5,18829.0,65.3,9.3,834600,2535.0,958.0,21.8,78.2,7.0,91.9,0.0,0.4,0.0,0.7,5.6,94.4,6.2,12.7,49.2,4.3,2.7,1.0,21196.0,75.6,13.2,1587,778,21.2,78.8,0.0,0.0,0.0,2.3,1587,23.6,10.9,74.4,4.5,16.9,40.3,8.0,4.8,1.3,25000,77.3,15.8
"Census Tract 8347, Cook County, Illinois",1980.0,655.0,47.9,52.1,0.8,99.5,0.0,0.0,0.0,0.7,0.4,99.6,13.4,26.3,28.1,6.9,2.9,1.2,23156.0,72.6,15.1,834700,1748.0,564.0,19.0,81.0,11.2,88.9,1.4,7.7,0.0,0.9,8.8,91.2,11.5,25.3,34.2,4.3,4.1,3.4,21802.0,68.5,14.5,1094,566,26.0,74.0,0.0,0.3,0.0,0.3,1094,2.4,0.0,96.2,4.5,13.8,26.2,6.9,16.4,10.0,24412,86.2,19.9
"Census Tract 8348, Cook County, Illinois",1971.0,723.0,33.1,66.9,0.4,99.2,0.3,0.5,0.0,0.0,0.0,100.0,8.1,20.1,40.4,6.8,2.5,0.8,16558.0,76.9,18.0,834800,1566.0,655.0,24.9,75.1,4.0,96.0,0.0,0.4,0.0,0.0,4.0,96.0,3.7,19.7,40.2,5.0,7.9,1.3,20559.0,78.9,19.5,1737,752,19.1,80.9,0.6,0.2,0.0,3.7,1737,8.2,0.0,89.4,5.4,6.7,35.8,10.7,15.4,2.2,18973,83.1,17.0
"Census Tract 8349, Cook County, Illinois",2549.0,851.0,21.7,78.3,2.7,98.5,0.4,0.0,0.0,0.0,0.6,99.4,7.7,24.9,27.1,3.7,5.0,0.0,14451.0,64.8,14.0,834900,1859.0,753.0,31.1,68.9,2.0,98.2,1.7,0.0,0.4,0.0,0.4,99.6,7.3,14.9,38.3,1.9,8.2,2.2,18401.0,75.7,20.8,1012,586,15.5,84.5,4.0,0.0,0.0,0.0,1012,0.0,0.0,95.1,10.5,20.6,35.1,6.1,6.5,5.9,16574,85.3,28.3
"Census Tract 8350, Cook County, Illinois",5829.0,1605.0,34.8,65.2,10.4,66.5,0.0,0.4,0.0,23.7,31.7,68.3,20.3,12.1,32.9,8.5,5.6,1.3,28991.0,63.7,6.9,835000,5579.0,1879.0,34.3,65.7,15.3,59.3,0.0,0.0,0.3,26.4,40.4,59.6,10.7,13.7,44.5,6.6,4.5,1.8,26926.0,72.4,11.5,5429,1952,31.2,68.8,0.3,0.8,0.5,38.5,5429,55.4,1.3,41.8,14.6,8.9,45.2,6.2,4.8,3.6,29966,76.4,16.1
"Census Tract 8351, Cook County, Illinois",5395.0,1282.0,62.2,37.8,52.2,22.8,0.0,0.7,0.0,27.9,79.1,20.9,33.6,16.2,23.4,5.7,5.1,0.0,38516.0,64.2,4.1,835100,5809.0,1348.0,63.4,36.6,31.4,13.8,0.6,0.6,0.0,57.1,84.2,15.8,24.9,11.7,35.9,3.8,3.4,3.0,35962.0,70.4,7.3,4934,1331,58.5,41.5,0.0,0.9,0.0,24.7,4934,80.9,1.1,17.3,29.3,11.9,35.4,7.9,5.7,1.1,43203,73.1,10.9
"Census Tract 8352, Cook County, Illinois",1625.0,584.0,75.0,25.0,68.6,1.8,0.2,3.7,0.0,25.9,50.1,49.9,19.3,12.3,33.7,4.9,10.6,3.4,46452.0,78.2,11.5,835200,1833.0,626.0,57.3,42.7,64.5,0.9,0.2,2.0,0.0,35.8,65.0,35.0,20.1,9.2,36.3,5.0,9.8,3.8,45417.0,78.3,10.9,2157,657,69.9,30.1,8.2,4.6,0.0,41.4,2157,70.9,7.5,6.3,14.7,6.8,30.9,13.0,9.7,6.3,75750,82.2,15.4
"Census Tract 8355, Cook County, Illinois",1851.0,758.0,30.6,69.4,3.4,90.3,0.0,0.6,0.0,6.9,7.5,92.5,8.6,17.7,33.8,4.5,9.1,3.2,13788.0,68.2,18.8,835500,1444.0,702.0,28.8,71.2,7.4,92.1,0.0,0.0,0.0,0.5,5.5,94.5,8.8,22.9,25.4,10.1,6.5,4.9,20517.0,87.5,27.4,1375,679,19.7,80.3,2.1,0.0,0.0,7.3,1375,10.0,1.6,84.1,4.3,15.1,33.4,6.9,10.9,1.5,17454,78.3,26.8
"Census Tract 8356, Cook County, Illinois",1073.0,388.0,37.6,62.4,4.1,95.9,0.0,0.0,0.0,0.0,1.8,98.2,0.0,27.3,30.9,8.7,7.2,4.3,18071.0,76.5,11.5,835600,910.0,343.0,42.0,58.0,7.7,92.3,0.0,0.0,0.0,0.0,7.7,92.3,5.5,12.6,54.6,2.5,9.0,5.5,26458.0,81.3,25.7,838,451,14.4,85.6,1.0,0.1,0.0,0.0,838,19.5,0.0,79.5,3.5,24.2,44.1,3.8,1.6,4.3,15043,87.8,35.7
"Census Tract 8358, Cook County, Illinois",1386.0,592.0,45.3,54.7,2.0,97.3,0.6,1.3,0.0,0.0,1.9,98.1,5.4,1.9,20.4,7.7,22.8,25.3,53214.0,74.2,3.2,835800,1707.0,629.0,39.3,60.7,6.7,95.4,2.1,0.0,0.0,0.0,1.9,98.1,1.3,17.6,15.7,3.3,20.4,24.5,60598.0,64.9,5.9,1785,733,48.6,51.4,3.6,1.2,0.0,11.3,1785,12.1,0.0,82.2,1.0,4.9,21.3,8.3,29.8,18.9,84904,78.5,6.9
"Census Tract 8360, Cook County, Illinois",2738.0,1021.0,45.9,54.1,3.1,96.1,0.2,0.5,0.9,1.9,2.0,98.0,1.7,6.0,21.9,5.8,21.6,15.6,57227.0,71.3,7.5,836000,2685.0,942.0,53.8,46.2,2.9,96.5,0.7,0.7,0.0,1.2,1.0,99.0,0.4,9.2,16.4,10.3,16.0,17.2,60368.0,71.1,7.3,2784,1068,49.2,50.8,0.9,1.1,0.0,0.0,2784,0.3,0.0,92.8,0.7,6.6,17.4,5.4,29.8,21.4,71776,72.3,7.9
"Census Tract 3206, Cook County, Illinois",3670.0,2341.0,37.2,62.8,62.8,17.9,0.5,20.1,0.0,1.6,2.5,97.5,0.4,2.6,6.9,5.3,40.7,36.1,65575.0,96.6,8.6,320600,4672.0,2696.0,36.9,63.1,63.4,18.0,0.4,20.7,0.0,1.6,5.3,94.7,0.5,0.0,4.1,3.0,36.3,44.1,101311.0,91.7,8.2,5537,3291,36.3,63.7,0.8,17.8,0.0,3.0,5537,10.2,0.0,8.1,0.0,0.0,2.6,3.4,42.4,45.6,113051,92.3,9.3
"Census Tract 3504, Cook County, Illinois",857.0,313.0,0.0,100.0,0.0,93.3,0.0,1.9,0.0,6.7,5.7,94.3,1.9,21.2,22.0,4.2,1.9,0.0,11650.0,52.7,4.6,350400,1856.0,662.0,0.0,100.0,1.5,98.8,0.0,0.0,0.8,0.0,0.3,99.7,5.0,19.5,39.1,7.7,3.2,1.5,10980.0,58.8,3.5,1859,709,0.0,100.0,0.0,0.0,0.0,0.6,1859,0.6,0.0,99.0,8.9,20.8,26.1,7.8,8.8,4.6,18368,67.3,2.7
"Census Tract 8048.10, Cook County, Illinois",6731.0,2539.0,69.4,30.6,74.0,6.7,0.4,14.8,0.0,6.9,12.3,87.7,5.5,4.4,25.3,7.1,23.5,11.3,68329.0,77.7,15.3,804810,7264.0,2534.0,72.9,27.1,75.7,1.8,0.0,18.7,2.0,3.1,10.5,89.5,3.1,4.8,25.8,7.7,24.0,14.0,71667.0,75.4,17.8,6830,2865,68.3,31.7,0.5,12.3,0.0,10.4,6830,14.8,0.5,6.0,4.4,3.9,24.4,4.0,23.3,19.6,73560,78.6,22.2
"Census Tract 8049.01, Cook County, Illinois",6549.0,2496.0,91.1,8.9,90.5,1.0,0.8,7.3,0.0,1.2,4.6,95.4,2.4,2.4,20.3,4.4,34.4,18.2,81104.0,74.0,15.6,804901,6469.0,2489.0,90.2,9.8,94.2,2.2,0.2,5.6,0.4,0.4,4.8,95.2,1.5,3.6,15.0,7.1,31.3,21.0,87536.0,75.4,14.9,6397,2375,90.2,9.8,4.3,5.4,0.0,0.3,6397,1.9,0.0,2.1,1.6,0.4,14.9,5.2,37.6,24.9,124375,72.3,13.7
"Census Tract 8053.01, Cook County, Illinois",3480.0,1174.0,87.5,12.5,62.4,0.6,0.0,34.9,0.0,3.9,6.1,93.9,6.1,10.4,25.7,6.6,24.2,13.1,63421.0,79.6,22.1,805301,3119.0,1160.0,84.1,15.9,56.3,7.9,0.4,33.4,0.0,5.8,5.2,94.8,11.5,4.7,24.1,5.7,25.5,12.7,69271.0,84.5,24.2,3073,1083,82.5,17.5,0.8,37.3,0.0,1.9,3073,5.0,0.3,0.0,3.8,5.6,22.2,5.1,29.5,16.7,82974,78.4,18.3
"Census Tract 8053.02, Cook County, Illinois",3339.0,1214.0,96.8,3.2,69.1,1.4,0.6,27.6,0.0,2.9,10.4,89.6,5.1,8.6,23.4,6.5,27.7,13.7,72500.0,83.4,25.0,805302,3795.0,1338.0,92.7,7.3,66.4,0.2,0.0,36.2,0.8,0.0,2.8,97.2,3.9,5.8,16.5,10.4,33.0,11.3,84500.0,83.5,24.8,4050,1429,92.4,7.6,0.0,29.6,0.8,4.9,4050,5.1,2.9,0.5,3.2,2.6,26.8,7.2,23.5,14.0,95611,80.0,23.1
"Census Tract 8054.02, Cook County, Illinois",5192.0,1955.0,85.9,14.1,85.1,0.1,1.7,11.6,0.0,3.5,9.0,91.0,7.7,10.1,32.1,4.7,18.2,6.5,53304.0,83.3,22.9,805402,4677.0,1736.0,85.5,14.5,75.8,1.3,0.3,20.1,0.0,4.6,6.1,93.9,7.1,4.7,29.6,13.6,20.2,7.6,64492.0,84.5,23.0,4768,1771,94.1,5.9,3.4,11.1,0.0,0.9,4768,6.7,1.2,1.5,6.8,2.2,22.7,8.3,29.0,14.1,92063,78.8,21.2
"Census Tract 8063, Cook County, Illinois",4454.0,1683.0,90.1,9.9,88.4,0.5,0.0,6.6,0.4,6.4,17.8,82.2,5.3,4.9,28.7,7.7,20.7,8.8,74375.0,76.9,10.4,806300,4462.0,1701.0,86.8,13.2,89.2,1.7,2.1,4.8,1.3,4.7,16.3,83.7,6.8,4.3,27.0,9.4,23.4,11.2,80230.0,80.3,17.6,4490,1734,86.3,13.7,2.9,5.1,1.5,7.8,4490,20.8,4.7,2.1,3.7,3.1,19.8,9.5,25.6,16.8,103171,78.3,15.9
"Census Tract 8071, Cook County, Illinois",3903.0,1281.0,89.2,10.8,82.3,13.2,0.0,6.0,0.0,1.0,10.6,89.4,3.2,0.4,8.5,3.2,34.1,37.5,108583.0,70.8,14.9,807100,3400.0,1188.0,87.5,12.5,73.1,11.8,1.1,16.8,1.1,0.3,8.0,92.0,2.4,1.9,5.2,3.4,30.6,40.5,125156.0,73.8,20.2,3906,1163,80.1,19.9,0.0,12.3,1.0,1.4,3906,8.7,0.4,9.9,0.7,5.6,5.9,4.8,32.5,42.0,129766,65.8,18.8
"Census Tract 8082, Cook County, Illinois",5542.0,1899.0,82.2,17.8,71.8,0.7,0.0,27.2,0.3,1.5,9.8,90.2,11.7,6.7,27.4,5.9,23.6,7.5,54196.0,82.0,20.6,808200,5524.0,1894.0,86.8,13.2,72.8,3.1,2.4,21.7,0.0,0.2,10.7,89.3,6.0,4.9,26.3,6.3,22.1,14.7,71875.0,81.6,19.6,5889,1932,83.3,16.7,1.1,28.9,0.0,5.4,5889,11.4,2.4,2.6,6.2,3.4,27.2,7.5,24.6,11.2,85111,76.4,16.9
"Census Tract 8182, Cook County, Illinois",4689.0,1667.0,86.4,13.6,59.8,26.2,0.1,3.8,0.0,13.9,20.2,79.8,6.9,4.9,23.6,9.1,20.3,10.6,75580.0,77.0,15.9,818200,4405.0,1665.0,83.8,16.2,63.2,29.3,0.5,2.2,2.4,6.7,26.5,73.5,1.2,4.2,22.3,6.4,21.8,16.2,68750.0,78.0,14.7,4937,1859,83.4,16.6,0.7,2.6,0.2,10.0,4937,20.7,2.0,41.4,0.7,3.4,25.1,9.3,18.8,13.5,103906,80.0,15.2
"Census Tract 8189, Cook County, Illinois",4573.0,1938.0,58.8,41.2,91.9,5.9,0.0,1.0,0.0,1.3,18.1,81.9,0.5,3.4,26.2,6.9,24.0,12.7,56250.0,76.7,18.6,818900,4611.0,1815.0,60.9,39.1,91.7,5.1,0.2,1.5,0.0,2.9,10.6,89.4,2.3,3.1,24.8,6.1,26.5,17.6,75139.0,75.9,20.8,4371,1874,64.2,35.8,0.5,5.1,0.2,6.1,4371,15.2,0.6,6.4,3.7,2.6,19.1,6.9,32.7,19.5,88203,78.1,25.4
"Census Tract 2804, Cook County, Illinois",950.0,381.0,24.9,75.1,15.1,80.9,0.0,2.8,0.0,1.2,2.0,98.0,9.0,7.4,23.8,19.0,13.3,8.8,24531.0,71.3,5.9,280400,1715.0,589.0,10.7,89.3,8.8,89.2,0.3,2.3,0.0,1.2,1.8,98.2,1.5,16.9,32.7,6.1,10.9,8.2,35275.0,58.3,4.6,1471,565,28.7,71.3,0.0,1.5,0.0,6.1,1471,10.0,2.4,68.9,8.3,10.1,22.1,4.5,15.5,12.1,65972,72.3,12.0
"Census Tract 2922, Cook County, Illinois",3043.0,936.0,33.0,67.0,4.1,97.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,24.8,34.1,1.8,8.5,3.7,24008.0,70.9,7.4,292200,2922.0,947.0,35.2,64.8,6.6,91.9,0.2,0.2,0.0,1.4,4.7,95.3,3.5,17.0,36.1,6.2,11.7,3.2,31902.0,73.5,9.9,2580,961,20.8,79.2,0.3,1.2,0.0,7.0,2580,8.7,7.2,81.1,5.8,15.5,27.6,9.0,12.4,4.4,32192,76.5,9.2
"Census Tract 3005, Cook County, Illinois",2888.0,724.0,17.1,82.9,68.5,3.8,0.4,0.6,0.0,27.9,96.3,3.7,35.4,14.8,29.8,5.0,1.3,0.3,35463.0,68.8,2.8,300500,2781.0,853.0,31.8,68.2,54.6,6.0,0.4,0.0,0.0,39.4,90.4,9.6,44.5,11.3,18.7,3.5,8.4,2.7,38047.0,72.5,9.4,3214,946,44.5,55.5,6.6,1.6,0.0,48.2,3214,93.1,1.2,1.9,29.7,11.7,26.4,3.3,11.4,4.6,49500,79.6,15.1
