NAME,Total Pop (#)_2012,Total HH (#)_2012,Home: Owner_2012,Home: Renter_2012,Race: White_2012,Race: Black/AA_2012,Race: AI/Alaskan_2012,Race: Asian_2012,Race: Hawaiian/PI_2012,Race: Other_2012,Ethnicty: Hisp._2012,Ethnicity: Non-Hisp._2012,Edu: < 9th grade_2012,"Edu: HS, no diploma_2012",Edu: HS Diploma_2012,Edu: Associate's Degree_2012,Edu: Bachelor's Degree_2012,Edu: Grad/Prof Degree_2012,Median HH Income ($)_2012,Age: 18+_2012,Age: 65+_2012,tract,Total Pop (#)_2017,Total HH (#)_2017,Home: Owner_2017,Home: Renter_2017,Race: White_2017,Race: Black/AA_2017,Race: AI/Alaskan_2017,Race: Asian_2017,Race: Hawaiian/PI_2017,Race: Other_2017,Ethnicty: Hisp._2017,Ethnicity: Non-Hisp._2017,Edu: < 9th grade_2017,"Edu: HS, no diploma_2017",Edu: HS Diploma_2017,Edu: Associate's Degree_2017,Edu: Bachelor's Degree_2017,Edu: Grad/Prof Degree_2017,Median HH Income ($)_2017,Age: 18+_2017,Age: 65+_2017,Total Pop (#)_2022,Total HH (#)_2022,Home: Owner_2022,Home: Renter_2022,Race: White_2022,Race: Black/AA_2022,Race: AI/Alaskan_2022,Race: Asian_2022,Race: Hawaiian/PI_2022,Race: Other_2022,Ethnicty: Hisp._2022,Ethnicity: Non-Hisp._2022,Edu: < 9th grade_2022,"Edu: HS, no diploma_2022",Edu: HS Diploma_2022,Edu: Associate's Degree_2022,Edu: Bachelor's Degree_2022,Edu: Grad/Prof Degree_2022,Median HH Income ($)_2022,Age: 18+_2022,Age: 65+_2022
"Census Tract 8174, Cook County, Illinois",4481.0,1294.0,55.5,44.5,40.8,26.3,0.0,0.0,1.2,32.0,58.9,41.1,24.0,14.4,23.6,7.0,7.7,7.5,64889.0,71.2,6.6,817400,4065.0,1083.0,66.2,33.8,38.2,29.1,1.2,1.3,0.0,32.2,58.7,41.3,16.4,10.3,33.8,1.9,11.4,5.1,63162.0,73.1,9.1,4238,1092,70.1,29.9,2.2,2.9,0.0,46.6,4238,67.3,0.9,17.3,27.9,9.3,21.5,8.4,10.4,7.7,83404,73.2,11.6
"Census Tract 8199, Cook County, Illinois",3317.0,1078.0,94.3,5.7,98.6,1.5,0.0,1.1,0.6,0.0,4.2,95.8,0.0,0.9,9.7,4.5,42.3,32.5,142386.0,66.8,15.1,819900,3382.0,1129.0,96.8,3.2,99.7,0.0,0.0,0.6,0.0,0.0,2.2,97.8,0.0,0.4,8.7,3.2,40.1,37.6,166544.0,66.9,16.6,3232,1030,99.4,0.6,0.0,1.9,0.0,1.7,3232,5.0,0.0,0.1,0.3,0.0,7.6,1.9,42.5,37.2,207692,64.1,13.9
"Census Tract 8205.01, Cook County, Illinois",6242.0,2149.0,76.0,24.0,89.7,1.0,0.0,4.2,0.0,6.9,23.1,76.9,5.0,8.7,41.0,11.4,7.6,5.1,57332.0,74.1,10.0,820501,6158.0,2117.0,81.6,18.4,88.9,3.6,0.0,3.6,0.6,3.9,18.7,81.3,7.4,9.0,37.6,6.5,15.4,5.6,63862.0,78.3,12.5,5408,1983,73.2,26.8,0.1,2.0,1.3,13.4,5408,27.0,2.8,1.5,6.4,5.5,35.1,6.8,15.9,7.1,66194,79.6,17.4
"Census Tract 8224, Cook County, Illinois",6520.0,2166.0,69.1,30.9,94.8,2.7,0.0,2.5,0.0,0.0,14.9,85.1,7.3,10.2,35.8,9.0,12.3,7.0,49477.0,70.7,10.8,822400,6105.0,2026.0,66.5,33.5,86.4,4.8,0.9,1.2,0.0,7.1,15.4,84.6,5.0,7.7,36.1,11.3,13.2,7.4,42900.0,69.8,12.5,6557,2115,71.3,28.7,0.0,2.9,0.0,6.4,6557,23.6,0.0,3.6,2.6,12.1,31.5,11.5,11.6,10.0,54299,71.4,14.6
"Census Tract 8228.02, Cook County, Illinois",3570.0,1322.0,89.3,10.7,92.0,5.5,0.0,1.3,0.0,1.4,16.4,83.6,2.0,5.2,31.8,5.7,21.9,11.0,59318.0,76.2,18.9,822802,3402.0,1282.0,90.6,9.4,93.1,4.6,0.3,1.0,0.0,2.0,19.9,80.1,5.8,2.3,24.5,7.4,23.9,15.0,68256.0,78.8,19.8,3750,1281,93.4,6.6,0.8,1.9,0.0,7.4,3750,23.5,1.0,2.4,4.2,3.6,17.5,9.9,29.2,15.8,91691,70.9,17.6
"Census Tract 8233.03, Cook County, Illinois",4660.0,1591.0,75.4,24.6,83.1,6.5,0.0,1.6,0.3,8.8,18.2,81.8,2.3,6.0,31.9,9.4,14.3,3.2,52839.0,71.4,11.4,823303,4380.0,1615.0,74.0,26.0,70.9,17.9,0.0,1.3,0.0,15.1,25.2,74.8,8.1,8.4,32.0,5.5,12.1,4.8,53801.0,78.3,14.0,4059,1617,68.5,31.5,1.8,0.8,0.0,9.6,4059,26.2,4.2,7.8,2.0,5.9,36.4,8.4,13.8,7.2,78449,74.0,12.1
"Census Tract 8236.04, Cook County, Illinois",3640.0,1378.0,94.8,5.2,93.4,3.5,0.0,3.7,0.0,0.3,1.8,98.2,1.6,3.7,20.2,5.3,30.1,20.4,75403.0,78.6,22.3,823604,3673.0,1393.0,93.9,6.1,94.6,1.6,0.7,2.9,0.0,2.8,5.1,94.9,3.6,3.4,24.6,7.6,25.7,17.4,84821.0,81.5,23.0,3248,1160,98.3,1.7,1.4,2.7,0.0,5.3,3248,13.2,1.4,0.3,1.1,2.2,24.4,6.8,30.7,15.6,106250,79.0,22.4
"Census Tract 4205, Cook County, Illinois",2320.0,994.0,15.4,84.6,3.6,98.6,0.0,0.9,0.0,0.0,0.8,99.2,3.0,16.9,38.4,3.8,8.6,4.3,23125.0,67.9,13.6,420500,1704.0,789.0,18.3,81.7,0.9,96.1,0.0,3.9,0.0,0.0,7.7,92.3,3.2,15.1,24.2,13.8,14.6,5.1,25781.0,75.9,19.1,1978,925,21.2,78.8,0.0,2.1,0.0,0.4,1978,0.9,0.0,96.2,4.8,12.3,24.9,4.9,22.9,3.5,23539,78.6,19.0
"Census Tract 4304, Cook County, Illinois",3139.0,1093.0,40.7,59.3,1.3,98.1,0.8,0.2,0.0,2.1,0.8,99.2,7.0,13.6,21.7,9.6,11.3,10.4,34511.0,75.6,11.9,430400,2934.0,1059.0,21.6,78.4,3.6,97.8,0.8,0.0,0.0,0.0,0.0,100.0,2.8,9.9,27.1,6.1,11.4,7.9,15469.0,69.3,7.8,3184,1335,41.6,58.4,1.6,0.0,0.0,1.5,3184,1.1,0.0,91.8,1.5,7.6,31.9,7.0,9.1,9.6,37485,78.0,14.9
"Census Tract 4306, Cook County, Illinois",1693.0,743.0,34.3,65.7,0.7,99.6,7.3,4.7,0.0,0.0,0.0,100.0,1.7,8.1,21.1,11.9,15.0,14.1,36683.0,76.9,10.5,430600,1732.0,696.0,35.6,64.4,6.5,93.6,1.1,1.1,0.0,0.9,1.0,99.0,1.0,3.5,30.4,8.0,16.4,12.6,23300.0,74.7,19.0,2168,821,32.5,67.5,0.0,4.0,0.0,1.0,2168,3.2,0.0,91.7,0.0,4.0,23.9,14.1,13.8,8.6,52202,72.2,12.2
"Census Tract 4409, Cook County, Illinois",2858.0,965.0,58.5,41.5,0.1,99.9,0.5,0.0,0.0,0.0,0.6,99.4,1.6,9.7,29.9,9.5,11.1,7.1,38016.0,73.7,17.5,440900,2403.0,953.0,46.5,53.5,0.1,99.4,1.2,0.0,0.0,0.0,0.0,100.0,4.3,13.8,27.3,9.5,12.4,15.2,34050.0,74.7,17.8,2514,976,61.7,38.3,0.0,0.0,0.0,0.0,2514,0.0,0.0,99.6,1.9,10.3,28.0,4.7,25.8,17.8,52778,80.3,22.9
"Census Tract 4601, Cook County, Illinois",3372.0,1362.0,34.1,65.9,19.8,74.7,0.5,0.0,0.0,5.5,23.3,76.7,7.3,12.9,34.7,5.3,8.4,4.7,31178.0,70.3,8.3,460100,3133.0,1105.0,39.7,60.3,17.2,82.3,0.0,0.8,0.0,4.2,22.3,77.7,5.5,7.9,37.0,7.6,12.2,6.5,31094.0,71.7,10.8,2656,976,34.6,65.4,1.0,2.1,0.0,9.1,2656,14.8,0.0,78.0,4.5,10.9,25.1,12.7,18.5,8.7,44606,74.1,12.4
"Census Tract 8210.01, Cook County, Illinois",5426.0,1637.0,72.2,27.8,88.1,1.0,0.0,2.2,0.2,10.4,20.5,79.5,8.6,11.4,40.9,5.9,8.7,2.4,59141.0,73.8,11.3,821001,5069.0,1621.0,65.9,34.1,90.9,3.6,0.0,4.1,0.0,6.2,18.5,81.5,7.4,14.7,34.2,7.5,9.9,2.2,52930.0,75.0,12.4,4797,1672,66.3,33.7,1.6,5.4,0.1,32.6,4797,44.5,0.9,5.0,10.4,9.8,31.0,3.3,12.9,4.5,53802,74.6,12.7
"Census Tract 8210.02, Cook County, Illinois",5474.0,1735.0,83.5,16.5,89.6,0.7,1.5,3.4,0.0,5.2,21.8,78.2,9.5,11.9,45.0,4.7,8.2,3.4,59089.0,75.6,17.3,821002,5517.0,1765.0,88.0,12.0,90.9,3.1,0.0,0.6,0.0,6.1,21.4,78.6,10.8,9.5,41.9,7.9,9.4,3.9,55293.0,79.8,17.7,5165,1814,86.3,13.7,0.9,2.3,0.0,17.9,5165,38.3,3.7,2.8,7.6,10.8,38.8,8.4,11.2,6.3,64167,80.8,18.1
"Census Tract 8222, Cook County, Illinois",3821.0,1252.0,86.4,13.6,95.9,2.0,0.4,1.7,0.0,2.3,15.7,84.3,7.1,7.3,40.6,8.2,9.3,6.5,65000.0,74.4,15.1,822200,4060.0,1278.0,90.2,9.8,84.6,2.1,0.0,0.2,0.0,13.7,24.7,75.3,2.3,2.9,39.4,9.7,18.0,7.0,90424.0,75.1,14.4,3927,1307,89.7,10.3,4.9,4.2,0.0,20.7,3927,26.2,3.8,2.9,2.0,4.1,36.6,9.8,16.5,6.7,80313,78.7,14.8
"Census Tract 8225, Cook County, Illinois",4654.0,1639.0,86.1,13.9,83.3,5.0,1.3,4.0,0.0,8.1,15.0,85.0,2.3,6.0,38.5,6.6,20.7,9.1,69002.0,78.8,15.1,822500,4369.0,1575.0,77.5,22.5,93.2,6.2,0.0,4.7,0.0,0.7,12.5,87.5,4.0,10.9,21.6,10.1,14.3,10.8,68464.0,77.8,16.9,4304,1698,86.6,13.4,1.9,2.6,0.0,8.3,4304,13.1,0.0,5.3,3.4,4.6,24.1,11.3,16.8,15.3,81569,82.6,23.7
"Census Tract 8228.01, Cook County, Illinois",3823.0,1551.0,85.0,15.0,90.7,4.1,0.0,1.4,0.0,3.8,22.0,78.0,2.5,3.0,24.8,10.2,23.2,13.0,61156.0,79.1,14.0,822801,3113.0,1458.0,76.3,23.7,81.0,7.5,0.8,9.5,0.0,10.4,19.1,80.9,1.7,2.7,27.0,12.4,20.7,14.8,60476.0,79.7,14.8,3214,1476,76.4,23.6,0.8,4.9,0.0,11.7,3214,27.3,1.6,6.7,3.6,2.0,19.1,10.5,30.4,14.7,82742,80.8,16.4
"Census Tract 8232, Cook County, Illinois",5207.0,1878.0,91.4,8.6,89.3,6.3,0.1,5.8,0.0,1.6,15.7,84.3,2.6,5.6,42.6,5.9,12.9,4.3,74115.0,75.7,12.9,823200,4626.0,1728.0,89.9,10.1,94.1,4.4,0.2,1.0,0.0,0.5,20.9,79.1,2.3,3.5,33.6,9.8,12.9,7.6,62727.0,77.2,15.9,4753,1845,88.0,12.0,1.5,5.1,0.0,7.8,4753,22.9,1.4,8.9,4.9,7.4,32.0,10.1,14.6,6.6,59899,78.7,23.8
"Census Tract 8236.03, Cook County, Illinois",2287.0,638.0,54.4,45.6,23.0,47.1,0.0,0.0,0.0,29.9,50.7,49.3,23.8,16.2,23.3,4.3,9.7,0.0,26458.0,64.7,10.5,823603,2307.0,636.0,53.8,46.2,27.4,45.9,2.4,0.4,0.0,26.7,49.3,50.7,14.2,13.1,26.9,7.9,12.1,5.0,34688.0,69.7,12.0,2339,545,62.9,37.1,1.7,0.0,0.0,21.8,2339,66.2,0.9,32.2,17.4,12.8,33.7,10.4,4.4,2.4,64263,70.2,8.7
"Census Tract 8237.05, Cook County, Illinois",4743.0,1696.0,64.3,35.7,90.3,5.3,0.2,1.4,0.0,3.9,10.1,89.9,6.3,7.0,39.3,6.4,14.4,8.8,54318.0,74.2,14.1,823705,4962.0,1744.0,60.8,39.2,90.7,8.2,0.0,0.2,0.3,2.6,14.9,85.1,4.7,7.0,33.5,6.8,17.1,6.3,52212.0,75.6,18.2,4813,1624,71.9,28.1,0.8,4.1,0.0,5.8,4813,17.8,1.3,2.8,9.2,3.4,29.0,9.6,16.5,12.5,65403,72.1,15.3
"Census Tract 8241.07, Cook County, Illinois",6661.0,2661.0,93.4,6.6,89.2,4.6,0.0,5.4,0.0,1.8,5.7,94.3,1.5,5.1,31.4,6.0,19.5,12.1,70043.0,82.4,23.7,824107,6957.0,2574.0,93.0,7.0,89.8,6.4,0.9,0.8,0.0,3.2,10.7,89.3,4.5,3.9,25.3,14.1,22.3,11.0,83266.0,83.6,24.4,7515,2802,85.7,14.3,0.1,1.4,0.0,13.5,7515,23.3,0.0,5.2,4.7,3.3,24.4,11.9,25.6,13.1,79442,75.7,19.9
"Census Tract 8243, Cook County, Illinois",5103.0,1886.0,58.6,41.4,7.6,89.6,0.3,0.0,0.0,2.5,5.7,94.3,7.7,16.4,31.4,8.8,10.7,2.5,25851.0,78.4,18.6,824300,4410.0,1623.0,51.6,48.4,7.6,91.6,1.0,0.3,0.0,0.5,1.9,98.1,7.3,11.1,25.7,8.2,6.2,7.0,25762.0,82.9,18.4,4956,1493,59.6,40.4,0.2,0.4,0.0,1.8,4956,2.9,0.0,89.8,3.6,10.7,26.0,8.3,11.7,4.4,34087,78.4,12.0
"Census Tract 8255.04, Cook County, Illinois",3813.0,1219.0,58.5,41.5,9.2,90.1,0.1,0.7,0.3,0.6,2.5,97.5,2.7,14.5,20.4,8.7,15.4,6.3,53496.0,73.4,10.4,825504,3915.0,1295.0,48.1,51.9,8.0,92.1,0.0,0.0,0.0,0.4,1.4,98.6,1.7,8.1,25.3,9.4,8.2,8.5,47724.0,75.5,11.5,3362,1301,60.8,39.2,0.0,0.0,0.0,0.2,3362,5.4,1.8,88.1,0.2,3.5,20.2,16.4,15.6,17.4,66534,79.6,12.7
"Census Tract 8257, Cook County, Illinois",4208.0,1525.0,61.8,38.2,28.7,64.7,0.3,1.7,0.0,5.0,20.9,79.1,5.4,8.6,35.9,8.7,7.0,3.2,39871.0,78.3,10.6,825700,4214.0,1385.0,60.7,39.3,33.2,60.0,0.3,0.3,0.0,6.9,24.6,75.4,6.0,7.9,34.1,8.4,9.1,4.5,43342.0,76.2,12.0,4085,1594,62.2,37.8,0.3,0.4,0.0,13.7,4085,23.8,1.4,63.3,7.6,8.1,27.9,14.3,8.5,5.4,50556,76.3,15.0
"Census Tract 8258.03, Cook County, Illinois",5477.0,2527.0,45.7,54.3,14.6,74.5,0.3,0.0,0.0,10.6,18.3,81.7,9.9,8.6,27.2,5.7,8.6,3.2,39119.0,82.4,15.3,825803,5508.0,2341.0,50.2,49.8,12.6,83.9,0.0,0.4,0.0,3.3,8.2,91.8,7.3,9.0,23.7,7.8,15.9,7.0,49336.0,79.5,15.1,5300,2329,54.9,45.1,0.4,0.1,0.0,1.7,5300,4.9,0.0,89.4,1.8,4.3,29.9,8.2,16.5,6.0,54835,83.3,19.6
