Tract,Total Pop,Park Acres,Parks Score,Libraries Count,Libraries Score,Bus Count,Bus Score,L Count,L Score,Divvy Count,Divvy Score,Transit Score,APS Index
040100,11946.0,43.15,4.0,0.0,0.0,18.0,17.0,0.0,0.0,2.0,13.0,13.0,0.05666099999999999
040201,20940.0,1.55,1.0,0.0,0.0,25.0,14.0,0.0,0.0,4.0,15.0,11.0,0.039996
040202,15452.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0,0.0,1.0,1.0,10.0,0.03333
040300,8964.0,29.6,4.0,0.0,0.0,9.0,11.0,0.0,0.0,3.0,29.0,11.0,0.04999499999999999
040401,6880.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,1.0,6.0,9.0,0.029997
040402,13863.0,23.03,2.0,0.0,0.0,15.0,12.0,0.0,0.0,1.0,3.0,9.0,0.036662999999999994
040600,8451.0,0.0,0.0,0.0,0.0,11.0,15.0,2.0,23.0,1.0,8.0,13.0,0.04332899999999999
040700,14668.0,0.89,1.0,0.0,0.0,8.0,8.0,2.0,16.0,1.0,5.0,6.0,0.023331
040800,5067.0,0.32,1.0,0.0,0.0,4.0,9.0,0.0,0.0,1.0,16.0,8.0,0.029997
040900,7264.0,15.97,3.0,1.0,39.0,10.0,21.0,0.0,0.0,2.0,32.0,13.0,0.18331499999999998
050100,8307.0,0.0,0.0,0.0,0.0,9.0,12.0,2.0,24.0,2.0,20.0,12.0,0.039996000000000004
050200,11830.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,3.0,13.0,12.0,0.039996000000000004
050300,2755.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,17.0,0.056661
050500,11174.0,0.0,0.0,0.0,0.0,15.0,10.0,0.0,0.0,1.0,2.0,11.0,0.036662999999999994
050600,8752.0,0.12,1.0,0.0,0.0,7.0,12.0,2.0,32.0,2.0,26.0,10.0,0.036662999999999994
050700,1501.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,21.0,0.069993
050800,2878.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,2.0,42.0,16.0,0.053328
050900,1532.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,15.0,0.04999499999999999
051000,3492.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,1.0,15.0,9.0,0.029997
051100,5817.0,0.79,1.0,0.0,0.0,5.0,10.0,0.0,0.0,1.0,13.0,8.0,0.029997
051200,1564.0,0.0,0.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,20.0,0.06666
051300,3249.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,0.0,0.0,21.0,0.069993
051400,7284.0,9.08,2.0,0.0,0.0,7.0,11.0,0.0,0.0,1.0,10.0,9.0,0.036662999999999994
060100,9633.0,0.16,1.0,0.0,0.0,7.0,8.0,0.0,0.0,3.0,27.0,8.0,0.029997
060200,6564.0,0.22,1.0,0.0,0.0,3.0,5.0,0.0,0.0,2.0,26.0,6.0,0.023331
060300,5804.0,0.21,1.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,8.0,0.029997
060400,11412.0,0.37,1.0,0.0,0.0,7.0,7.0,0.0,0.0,2.0,13.0,6.0,0.023331
060500,2482.0,1.39,1.0,0.0,0.0,6.0,18.0,0.0,0.0,0.0,0.0,19.0,0.06666
060800,10406.0,0.0,0.0,0.0,0.0,11.0,8.0,0.0,0.0,1.0,3.0,9.0,0.029997
060900,14446.0,0.0,0.0,0.0,0.0,21.0,11.0,0.0,0.0,2.0,5.0,12.0,0.039996000000000004
061000,4566.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,30.0,0.0,0.0,7.0,0.023331
061100,2798.0,0.0,0.0,0.0,0.0,5.0,14.0,0.0,0.0,2.0,43.0,19.0,0.063327
061200,4190.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,12.0,8.0,0.026664
061500,6150.0,0.47,1.0,0.0,0.0,1.0,2.0,2.0,34.0,0.0,0.0,4.0,0.016665
061800,2610.0,0.0,0.0,0.0,0.0,6.0,17.0,0.0,0.0,1.0,21.0,21.0,0.069993
061901,3348.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,12.0,0.039996000000000004
061902,9976.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,0.0,1.0,3.0,9.0,0.029997
062000,12724.0,0.17,1.0,1.0,18.0,7.0,8.0,0.0,0.0,2.0,17.0,6.0,0.083325
062100,7042.0,0.0,0.0,0.0,0.0,9.0,10.0,0.0,0.0,1.0,6.0,11.0,0.036662999999999994
062200,6290.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,7.0,3.0,0.009999000000000001
062300,3278.0,0.53,1.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,7.0,0.026664
062400,1622.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,10.0,0.03333
062500,4671.0,0.0,0.0,1.0,48.0,3.0,7.0,0.0,0.0,1.0,17.0,7.0,0.18331499999999998
062600,7422.0,2.3,1.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,9.0,6.0,0.023331
062700,6132.0,0.0,0.0,0.0,0.0,8.0,10.0,0.0,0.0,1.0,7.0,12.0,0.039996000000000004
062800,10839.0,0.8,1.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,14.0,5.0,0.019998
062900,11868.0,0.16,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,5.0,2.0,0.009999000000000001
063000,13260.0,0.55,1.0,0.0,0.0,11.0,13.0,8.0,95.0,2.0,16.0,12.0,0.043329000000000006
063100,7029.0,0.15,1.0,0.0,0.0,10.0,16.0,0.0,0.0,1.0,10.0,12.0,0.043329000000000006
063200,12774.0,0.0,0.0,0.0,0.0,14.0,8.0,0.0,0.0,2.0,7.0,10.0,0.03333
063301,6016.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,7.0,5.0,0.016665
063302,4010.0,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,15.0,0.04999499999999999
063303,1180.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,13.0,0.04332899999999999
063400,5474.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,1.0,8.0,13.0,0.04332899999999999
070101,12162.0,1209.98,100.0,0.0,0.0,10.0,9.0,0.0,0.0,5.0,37.0,10.0,0.36662999999999996
070102,6718.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,6.0,6.0,0.019998000000000002
070103,1408.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,11.0,0.036662999999999994
070200,12276.0,0.21,1.0,0.0,0.0,9.0,8.0,0.0,0.0,2.0,12.0,7.0,0.026664
070300,10674.0,0.58,1.0,0.0,0.0,8.0,8.0,0.0,0.0,3.0,24.0,8.0,0.029997
070400,13680.0,3.27,1.0,1.0,16.0,4.0,4.0,0.0,0.0,4.0,35.0,5.0,0.073326
070500,9792.0,0.42,1.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,6.0,4.0,0.016665
070600,9705.0,4.64,1.0,0.0,0.0,5.0,6.0,0.0,0.0,2.0,16.0,6.0,0.023331
070700,11502.0,0.25,1.0,0.0,0.0,12.0,12.0,0.0,0.0,2.0,13.0,10.0,0.036662999999999994
071000,14754.0,1.85,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,10.0,3.0,0.013332
071100,10275.0,0.0,0.0,0.0,0.0,9.0,10.0,6.0,67.0,2.0,15.0,13.0,0.04332899999999999
071200,6651.0,14.4,3.0,0.0,0.0,13.0,22.0,0.0,0.0,2.0,26.0,17.0,0.06666
071300,7992.0,0.14,1.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,7.0,0.026664
071400,9598.0,0.0,0.0,0.0,0.0,16.0,13.0,0.0,0.0,2.0,10.0,15.0,0.04999499999999999
071500,18330.0,0.06,1.0,0.0,0.0,25.0,15.0,0.0,0.0,5.0,23.0,13.0,0.046662
071600,5907.0,0.84,1.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,13.0,7.0,0.026664
071700,3256.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,16.0,7.0,0.023331
071800,5504.0,0.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,1.0,8.0,11.0,0.036662999999999994
080100,20658.0,0.61,1.0,0.0,0.0,12.0,7.0,0.0,0.0,1.0,1.0,5.0,0.019998
080201,6398.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,1.0,6.0,10.0,0.03333
080202,7516.0,0.0,0.0,0.0,0.0,9.0,9.0,2.0,16.0,0.0,0.0,11.0,0.036662999999999994
080300,15054.0,0.0,0.0,1.0,8.0,13.0,10.0,0.0,0.0,1.0,3.0,7.0,0.04999499999999999
080400,14097.0,0.0,0.0,0.0,0.0,7.0,6.0,2.0,11.0,2.0,10.0,6.0,0.019998000000000002
081000,25455.0,2.84,1.0,0.0,0.0,24.0,11.0,0.0,0.0,5.0,16.0,9.0,0.03333
081100,8906.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,1.0,4.0,6.0,0.019998000000000002
081201,9368.0,0.33,1.0,0.0,0.0,8.0,6.0,0.0,0.0,0.0,0.0,7.0,0.026664
081202,9825.0,0.18,1.0,0.0,0.0,9.0,10.0,0.0,0.0,2.0,16.0,9.0,0.03333
081300,23440.0,8.21,1.0,1.0,5.0,11.0,7.0,0.0,0.0,3.0,13.0,5.0,0.036662999999999994
081401,4494.0,0.0,0.0,0.0,0.0,13.0,22.0,0.0,0.0,3.0,40.0,27.0,0.089991
081402,16839.0,5.78,1.0,0.0,0.0,10.0,7.0,0.0,0.0,3.0,14.0,6.0,0.023331
081403,26952.0,1.38,1.0,0.0,0.0,16.0,7.0,0.0,0.0,4.0,11.0,6.0,0.023331
081500,14298.0,0.0,0.0,0.0,0.0,19.0,15.0,4.0,28.0,4.0,24.0,15.0,0.04999499999999999
081600,7318.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,2.0,14.0,17.0,0.056661
081700,14031.0,0.0,0.0,0.0,0.0,20.0,16.0,2.0,11.0,2.0,10.0,13.0,0.04332899999999999
081800,45180.0,6.07,1.0,0.0,0.0,21.0,7.0,2.0,1.0,11.0,28.0,6.0,0.023331
081900,2394.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,2.0,51.0,16.0,0.053328
090200,13080.0,10.25,1.0,0.0,0.0,16.0,9.0,0.0,0.0,0.0,0.0,10.0,0.036662999999999994
090300,2924.0,11.36,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.019998000000000002
100100,11662.0,6.57,1.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,8.0,0.029997
100200,21927.0,3.52,1.0,1.0,2.0,28.0,14.0,0.0,0.0,0.0,0.0,10.0,0.04332899999999999
100300,12786.0,20.8,2.0,0.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,9.0,0.036662999999999994
100400,3476.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,13.0,0.04332899999999999
100500,22516.0,0.22,1.0,1.0,6.0,12.0,8.0,2.0,8.0,0.0,0.0,5.0,0.039996000000000004
100600,5093.0,0.0,0.0,0.0,0.0,25.0,19.0,0.0,0.0,0.0,0.0,37.0,0.12332099999999999
100700,5504.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,11.0,0.036662999999999994
110100,5777.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,12.0,0.039996000000000004
110200,5714.0,1.73,1.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,20.0,0.069993
110300,11074.0,4.97,1.0,0.0,0.0,24.0,16.0,0.0,0.0,0.0,0.0,17.0,0.059994000000000006
110400,4551.0,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,0.0,22.0,0.07332599999999999
110501,5087.0,0.0,0.0,0.0,0.0,13.0,10.0,0.0,0.0,0.0,0.0,20.0,0.06666
110502,10089.0,13.39,2.0,0.0,0.0,25.0,28.0,2.0,18.0,0.0,0.0,21.0,0.07665899999999999
120100,8940.0,10.4,1.0,0.0,0.0,43.0,36.0,0.0,0.0,0.0,0.0,37.0,0.126654
120200,14586.0,9.62,1.0,1.0,8.0,18.0,14.0,0.0,0.0,0.0,0.0,10.0,0.063327
120300,14428.0,4.65,1.0,0.0,0.0,20.0,10.0,0.0,0.0,0.0,0.0,11.0,0.039996
120400,7530.0,0.58,1.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,13.0,0.046662
130100,14664.0,80.35,6.0,0.0,0.0,27.0,21.0,0.0,0.0,1.0,3.0,15.0,0.069993
130200,4491.0,0.15,1.0,0.0,0.0,21.0,53.0,0.0,0.0,1.0,18.0,37.0,0.126654
130300,10962.0,55.64,4.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,9.0,0.04332899999999999
140100,6668.0,11.97,2.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,8.0,0.03333
140200,6669.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,6.0,0.019998000000000002
140301,2983.0,0.0,0.0,0.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,16.0,0.053328
140302,7370.0,17.82,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,6.0,0.026664
140400,17295.0,0.33,1.0,1.0,5.0,21.0,14.0,0.0,0.0,0.0,0.0,10.0,0.053328
140500,10398.0,0.43000000000000005,1.0,0.0,0.0,9.0,10.0,0.0,0.0,2.0,15.0,8.0,0.029997
140601,2821.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,0.0,0.0,0.0,22.0,0.07332599999999999
140602,14916.0,2.8,1.0,0.0,0.0,5.0,4.0,0.0,0.0,1.0,3.0,4.0,0.016665
140701,9138.0,0.0,0.0,0.0,0.0,10.0,12.0,4.0,49.0,1.0,7.0,13.0,0.04332899999999999
140702,11612.0,0.0,0.0,0.0,0.0,8.0,5.0,0.0,0.0,1.0,2.0,6.0,0.019998000000000002
140800,24400.0,1.06,1.0,0.0,0.0,7.0,4.0,2.0,7.0,2.0,7.0,4.0,0.016665
150200,22668.0,1.22,1.0,0.0,0.0,37.0,19.0,0.0,0.0,1.0,1.0,13.0,0.046662
150300,22119.0,46.95,3.0,1.0,2.0,32.0,16.0,0.0,0.0,0.0,0.0,11.0,0.053328
150401,4925.0,0.0,0.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,34.0,0.113322
150402,3795.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,36.0,0.119988
150501,7606.0,14.88,2.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,11.0,0.04332899999999999
150502,8444.0,0.0,0.0,1.0,11.0,18.0,16.0,0.0,0.0,0.0,0.0,17.0,0.093324
150600,4378.0,0.0,0.0,0.0,0.0,14.0,12.0,0.0,0.0,0.0,0.0,25.0,0.083325
150700,8750.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0,1.0,4.0,10.0,0.03333
150800,5152.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,21.0,0.069993
151001,8610.0,0.0,0.0,1.0,21.0,4.0,5.0,0.0,0.0,1.0,8.0,5.0,0.08665799999999999
151002,10726.0,0.0,0.0,0.0,0.0,14.0,10.0,0.0,0.0,2.0,8.0,12.0,0.039996000000000004
151100,11366.0,9.28,1.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,0.0,9.0,0.03333
151200,7772.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,1.0,5.0,19.0,0.063327
