,NAME,Total Pop (#),Total HH (#),Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: < 18,Age: 18+,Age: 65+,state,county,tract
24,"Census Tract 4913, Cook County, Illinois",2465.0,634.0,47.6,52.4,3.9,97.2,0.5,0.0,0.0,0.5,1.5,98.5,4.4,17.0,31.5,6.4,7.5,4.2,25912.0,26.7,73.3,13.6,17,031,491300
25,"Census Tract 5101, Cook County, Illinois",3027.0,998.0,62.3,37.7,76.0,14.1,0.3,0.0,0.0,11.0,78.7,21.3,22.4,13.6,28.2,6.9,4.8,1.6,42632.0,24.3,75.7,14.5,17,031,510100
26,"Census Tract 5201, Cook County, Illinois",2019.0,533.0,60.0,40.0,83.5,8.9,4.2,0.0,0.0,9.0,87.3,12.7,24.0,21.5,38.5,3.9,6.2,3.0,35365.0,30.4,69.6,10.3,17,031,520100
27,"Census Tract 5301, Cook County, Illinois",2252.0,760.0,43.9,56.1,60.8,34.0,0.3,0.0,0.0,4.9,66.5,33.5,20.5,17.2,36.1,6.7,4.4,1.2,34667.0,23.8,76.2,13.1,17,031,530100
28,"Census Tract 5302, Cook County, Illinois",4296.0,1308.0,49.2,50.8,0.0,100.0,0.0,0.0,0.0,0.2,0.0,100.0,3.5,16.1,32.8,4.8,9.4,4.3,29539.0,30.2,69.8,15.6,17,031,530200
29,"Census Tract 5601, Cook County, Illinois",1605.0,331.0,72.5,27.5,42.7,13.6,2.4,9.3,0.0,33.8,70.0,30.0,16.4,13.9,40.8,5.3,11.0,2.0,60781.0,21.9,78.1,15.3,17,031,560100
30,"Census Tract 8024.02, Cook County, Illinois",5549.0,2080.0,67.5,32.5,71.3,3.6,2.1,10.5,0.5,14.8,34.5,65.5,8.9,5.9,27.7,6.1,16.6,14.2,61655.0,19.9,80.1,25.3,17,031,802402
31,"Census Tract 8016.03, Cook County, Illinois",4159.0,1531.0,39.3,60.7,62.8,7.0,0.6,29.4,0.8,1.9,16.2,83.8,5.1,4.6,19.9,4.2,29.4,18.0,46910.0,25.6,74.4,17.5,17,031,801603
32,"Census Tract 8016.08, Cook County, Illinois",6916.0,2864.0,77.5,22.5,77.5,0.3,0.0,23.0,0.0,1.1,2.7,97.3,1.8,1.2,10.1,3.3,35.0,33.7,108908.0,18.5,81.5,33.5,17,031,801608
33,"Census Tract 8019.01, Cook County, Illinois",4299.0,1786.0,82.3,17.7,86.0,1.2,0.7,8.9,0.0,5.3,12.1,87.9,1.1,3.3,14.9,6.8,36.0,25.2,85128.0,18.6,81.4,29.8,17,031,801901
34,"Census Tract 8030.10, Cook County, Illinois",5214.0,1958.0,88.6,11.4,88.7,0.2,1.1,7.2,0.2,4.1,8.8,91.2,0.5,1.9,18.0,9.7,32.2,21.1,106667.0,23.2,76.8,14.9,17,031,803010
35,"Census Tract 713, Cook County, Illinois",3747.0,1796.0,47.0,53.0,87.4,1.4,0.3,9.2,0.3,2.9,5.4,94.6,0.0,0.0,0.9,2.6,52.9,40.1,103571.0,18.1,81.9,10.5,17,031,071300
36,"Census Tract 803, Cook County, Illinois",4579.0,2714.0,49.7,50.3,83.0,6.6,0.0,11.5,0.0,0.3,5.5,94.5,0.7,1.6,1.8,3.8,43.3,42.3,117687.0,11.6,88.4,6.7,17,031,080300
37,"Census Tract 816, Cook County, Illinois",3937.0,2535.0,28.4,71.6,76.5,3.6,0.0,22.7,0.0,1.7,5.7,94.3,0.0,0.5,2.7,1.7,42.3,45.2,103060.0,7.8,92.2,7.8,17,031,081600
38,"Census Tract 818, Cook County, Illinois",8960.0,5719.0,56.3,43.7,88.4,1.6,0.4,10.3,0.0,0.7,5.5,94.5,0.0,0.0,2.6,2.1,54.3,35.5,116705.0,8.7,91.3,4.1,17,031,081800
39,"Census Tract 819, Cook County, Illinois",935.0,413.0,55.7,44.3,45.5,44.4,0.6,8.1,0.0,1.4,1.5,98.5,1.3,2.7,16.9,4.9,38.2,24.9,139063.0,18.7,81.3,6.1,17,031,081900
40,"Census Tract 5703, Cook County, Illinois",5773.0,1668.0,54.5,45.5,46.6,4.3,1.1,2.2,0.0,49.2,80.5,19.5,23.4,7.5,37.1,2.3,9.8,3.2,47500.0,31.8,68.2,11.8,17,031,570300
41,"Census Tract 6115, Cook County, Illinois",3197.0,928.0,25.5,74.5,65.6,9.0,0.2,0.3,0.0,25.1,85.7,14.3,16.5,6.5,62.7,1.5,2.0,1.3,28333.0,28.2,71.8,15.0,17,031,611500
42,"Census Tract 6117, Cook County, Illinois",1490.0,501.0,38.9,61.1,35.3,43.6,0.0,0.0,0.0,26.4,60.8,39.2,17.6,7.4,51.1,2.3,4.5,0.7,25074.0,28.8,71.2,10.7,17,031,611700
43,"Census Tract 6202, Cook County, Illinois",2286.0,732.0,65.3,34.7,63.2,0.5,0.0,5.4,0.0,31.5,72.4,27.6,10.6,10.0,37.5,9.9,9.0,3.1,53214.0,18.7,81.3,8.2,17,031,620200
44,"Census Tract 8163, Cook County, Illinois",5164.0,1535.0,67.4,32.6,61.7,2.9,0.2,0.4,0.0,36.0,73.9,26.1,16.9,11.8,32.2,6.3,10.2,1.3,61717.0,24.2,75.8,8.5,17,031,816300
45,"Census Tract 8170, Cook County, Illinois",5436.0,1687.0,74.6,25.4,23.9,67.7,0.0,0.1,0.0,8.4,26.4,73.6,9.7,8.4,36.1,6.8,8.3,3.7,54222.0,23.5,76.5,14.0,17,031,817000
46,"Census Tract 8185, Cook County, Illinois",5284.0,2440.0,91.3,8.7,77.0,10.0,0.3,5.0,0.0,14.1,20.6,79.4,2.7,1.9,25.3,7.0,27.4,16.0,78662.0,13.3,86.7,35.1,17,031,818500
47,"Census Tract 8187, Cook County, Illinois",3543.0,1314.0,86.3,13.7,94.2,1.5,0.4,0.6,0.0,3.6,20.3,79.7,1.3,3.8,18.4,9.0,30.0,18.5,83750.0,24.2,75.8,10.6,17,031,818700
48,"Census Tract 2001, Cook County, Illinois",4275.0,1362.0,52.6,47.4,53.1,6.9,1.0,5.9,0.0,38.1,71.2,28.8,20.6,8.5,26.7,3.6,15.7,8.2,44419.0,25.0,75.0,10.8,17,031,200100
49,"Census Tract 1609, Cook County, Illinois",2470.0,1048.0,56.2,43.8,84.6,4.5,0.0,9.4,0.0,3.9,31.1,68.9,3.1,1.8,18.5,11.1,30.2,21.2,80551.0,21.0,79.0,9.0,17,031,160900
50,"Census Tract 1709, Cook County, Illinois",1868.0,653.0,66.5,33.5,79.6,6.9,0.5,1.7,0.0,11.9,36.2,63.8,4.8,13.2,35.9,4.0,12.9,9.1,49508.0,20.4,79.6,14.0,17,031,170900
51,"Census Tract 2203, Cook County, Illinois",2177.0,911.0,42.9,57.1,91.2,6.2,2.5,3.0,0.0,7.8,31.3,68.7,5.2,2.6,9.8,3.8,40.3,23.3,85288.0,18.8,81.2,7.1,17,031,220300
52,"Census Tract 6301, Cook County, Illinois",841.0,277.0,42.6,57.4,60.2,19.9,0.0,0.0,0.0,21.0,75.0,25.0,14.1,10.4,53.6,2.7,3.5,2.9,31016.0,25.1,74.9,6.4,17,031,630100
53,"Census Tract 6610, Cook County, Illinois",5114.0,1828.0,52.2,47.8,11.4,89.6,1.3,1.1,0.0,0.3,8.8,91.2,5.8,13.3,38.6,5.1,11.1,7.3,32374.0,22.7,77.3,14.8,17,031,661000
54,"Census Tract 6702, Cook County, Illinois",953.0,343.0,52.5,47.5,8.2,91.1,0.7,0.0,0.0,0.0,5.0,95.0,4.5,15.5,47.7,3.7,4.5,2.0,22625.0,30.7,69.3,13.4,17,031,670200
55,"Census Tract 104, Cook County, Illinois",5411.0,1870.0,18.4,81.6,71.3,22.8,0.3,6.6,0.0,1.8,7.2,92.8,1.4,0.5,15.8,6.1,35.6,28.0,39634.0,13.4,86.6,6.3,17,031,010400
56,"Census Tract 3801, Cook County, Illinois",1932.0,1005.0,21.8,78.2,3.7,96.2,1.7,0.0,0.0,0.0,0.6,99.4,5.1,25.1,10.9,4.9,17.0,11.2,19328.0,22.7,77.3,16.3,17,031,380100
57,"Census Tract 6718, Cook County, Illinois",1292.0,340.0,50.9,49.1,1.0,94.7,3.9,0.0,0.0,5.3,5.3,94.7,8.5,11.8,37.4,5.3,7.8,3.4,35962.0,28.9,71.1,13.8,17,031,671800
58,"Census Tract 6911, Cook County, Illinois",3304.0,1132.0,31.7,68.3,2.5,97.9,0.0,0.0,0.0,0.6,1.2,98.8,2.2,14.1,37.0,11.1,6.5,4.5,19125.0,27.7,72.3,9.7,17,031,691100
59,"Census Tract 5303, Cook County, Illinois",4607.0,1529.0,76.0,24.0,1.2,98.7,1.0,0.0,0.0,0.2,0.8,99.2,2.3,12.3,24.8,7.5,10.8,4.6,39816.0,24.6,75.4,15.9,17,031,530300
60,"Census Tract 5609, Cook County, Illinois",5263.0,1902.0,87.4,12.6,84.4,1.1,0.3,1.0,0.0,14.8,33.3,66.7,3.6,7.6,31.2,10.7,14.9,8.4,84652.0,17.3,82.7,16.7,17,031,560900
61,"Census Tract 5803, Cook County, Illinois",2502.0,687.0,53.3,46.7,41.6,1.3,3.4,13.6,0.0,40.0,80.4,19.6,42.0,12.2,24.6,5.3,3.1,1.9,45853.0,21.5,78.5,9.2,17,031,580300
