,NAME,Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: 18+,Age: 65+,state,county,tract
753,"Census Tract 8159, Cook County, Illinois",43.9,56.1,49.2,40.3,0.5,11.4,0.0,1.6,5.5,94.5,2.5,5.7,23.8,9.9,19.3,18.0,45191.0,85.4,11.3,17,031,815900
754,"Census Tract 8087.02, Cook County, Illinois",64.6,35.4,69.2,8.6,0.8,23.9,0.0,2.8,8.1,91.9,0.0,2.0,0.8,0.0,26.7,57.9,52917.0,97.4,2.9,17,031,808702
755,"Census Tract 6606, Cook County, Illinois",32.6,67.4,7.0,74.7,0.0,0.9,0.0,20.3,25.1,74.9,12.0,14.5,29.7,6.4,7.9,0.8,33787.0,62.8,4.3,17,031,660600
756,"Census Tract 6701, Cook County, Illinois",36.4,63.6,6.2,93.8,0.0,0.0,0.0,0.0,3.0,97.0,8.9,14.0,34.1,4.7,10.8,0.0,33026.0,64.1,6.4,17,031,670100
757,"Census Tract 6708, Cook County, Illinois",38.7,61.3,0.1,99.9,0.0,0.0,0.0,2.3,2.3,97.7,1.5,20.0,34.9,4.4,5.9,1.3,28250.0,72.9,11.7,17,031,670800
758,"Census Tract 6711, Cook County, Illinois",34.9,65.1,0.2,99.8,0.0,0.0,0.0,0.0,0.0,100.0,3.8,24.9,27.9,4.3,6.7,0.0,19652.0,63.9,6.8,17,031,671100
759,"Census Tract 6712, Cook County, Illinois",42.3,57.7,1.6,99.2,1.5,0.0,0.0,0.0,0.0,100.0,13.1,7.9,33.4,12.1,7.8,0.8,27275.0,69.6,11.3,17,031,671200
760,"Census Tract 6714, Cook County, Illinois",61.0,39.0,4.7,96.0,0.0,0.0,0.0,0.3,4.5,95.5,2.4,16.0,38.4,7.2,7.2,2.3,35938.0,80.1,11.3,17,031,671400
761,"Census Tract 4805, Cook County, Illinois",69.2,30.8,5.0,84.4,0.0,0.0,0.0,11.5,15.3,84.7,0.6,9.9,23.8,12.4,16.9,7.2,52500.0,71.0,15.5,17,031,480500
762,"Census Tract 6715, Cook County, Illinois",45.1,54.9,5.1,95.9,0.5,0.0,0.0,0.3,2.3,97.7,5.3,28.7,37.9,5.2,2.2,1.2,23919.0,72.7,11.3,17,031,671500
