,NAME,Home: Owner,Home: Renter,Race: White,Race: Black/AA,Race: AI/Alaskan,Race: Asian,Race: Hawaiian/PI,Race: Other,Ethnicty: Hisp.,Ethnicity: Non-Hisp.,Edu: < 9th grade,"Edu: HS, no diploma",Edu: HS Diploma,Edu: Associate's Degree,Edu: Bachelor's Degree,Edu: Grad/Prof Degree,Median HH Income ($),Age: 18+,Age: 65+,state,county,tract
0,"Census Tract 8171.02, Cook County, Illinois",75.3,24.7,3.6,88.9,0.5,0.0,0.0,8.7,10.3,89.7,4.2,4.8,36.5,8.6,10.6,10.5,54318.0,74.8,8.5,17,031,817102
1,"Census Tract 8124, Cook County, Illinois",86.5,13.5,83.1,14.8,0.0,3.1,0.0,0.5,2.7,97.3,0.0,0.0,4.7,4.5,32.0,50.2,159800.0,72.7,11.3,17,031,812400
2,"Census Tract 8145, Cook County, Illinois",73.0,27.0,59.8,3.1,1.9,0.7,0.0,37.6,81.9,18.1,16.5,10.9,37.1,6.2,11.8,1.4,54773.0,71.1,12.1,17,031,814500
3,"Census Tract 8157.01, Cook County, Illinois",83.1,16.9,89.2,0.9,0.4,1.9,2.9,6.0,13.3,86.7,0.7,2.6,15.9,6.8,27.1,31.2,97064.0,71.0,14.5,17,031,815701
4,"Census Tract 8167, Cook County, Illinois",60.4,39.6,54.9,3.9,3.7,1.6,0.0,40.5,83.7,16.3,25.3,15.7,29.1,8.4,8.0,1.8,51645.0,67.9,6.8,17,031,816700
5,"Census Tract 8266, Cook County, Illinois",59.5,40.5,8.0,92.9,1.8,0.0,0.0,0.0,1.8,98.2,1.8,10.7,32.7,9.2,6.1,7.1,46375.0,73.2,7.1,17,031,826600
6,"Census Tract 8268, Cook County, Illinois",55.0,45.0,35.0,43.3,1.3,0.0,0.0,23.1,44.6,55.4,14.5,13.0,39.4,8.7,7.4,2.0,37143.0,69.6,9.5,17,031,826800
7,"Census Tract 8269.02, Cook County, Illinois",67.4,32.6,0.2,99.2,0.0,0.6,0.0,0.0,0.0,100.0,3.0,14.2,45.9,2.6,14.6,0.0,31080.0,80.2,16.4,17,031,826902
8,"Census Tract 5102, Cook County, Illinois",66.8,33.2,18.1,79.2,0.0,0.9,0.0,2.4,14.4,85.6,4.0,8.5,35.6,8.5,6.0,7.9,47841.0,77.4,12.6,17,031,510200
9,"Census Tract 5705, Cook County, Illinois",66.8,33.2,55.2,7.9,0.0,4.1,0.0,32.9,66.0,34.0,21.7,16.3,31.5,5.3,6.9,2.0,40456.0,77.1,13.0,17,031,570500
10,"Census Tract 6006, Cook County, Illinois",49.9,50.1,34.7,1.9,5.1,47.8,0.0,12.8,24.5,75.5,17.4,12.9,37.0,5.4,9.6,7.0,34479.0,81.5,9.0,17,031,600600
11,"Census Tract 6112, Cook County, Illinois",46.9,53.1,45.7,21.5,1.5,0.6,0.0,30.6,72.5,27.5,33.8,24.0,22.5,1.0,7.6,0.6,32262.0,67.8,3.3,17,031,611200
12,"Census Tract 5501, Cook County, Illinois",65.7,34.3,73.9,17.3,0.5,0.5,0.0,11.3,49.4,50.6,8.7,13.0,30.4,6.9,13.8,4.9,43358.0,71.0,13.6,17,031,550100
13,"Census Tract 5602, Cook County, Illinois",74.7,25.3,14.5,83.7,0.0,0.5,0.0,1.6,8.4,91.6,3.8,18.2,48.1,6.7,4.3,1.1,47917.0,69.6,17.9,17,031,560200
14,"Census Tract 5604, Cook County, Illinois",98.0,2.0,56.8,0.0,0.9,8.2,0.0,34.1,57.7,42.3,16.6,27.0,27.3,3.1,7.7,3.4,64904.0,87.2,14.1,17,031,560400
15,"Census Tract 5701, Cook County, Illinois",70.0,30.0,83.4,0.0,8.3,0.3,0.9,10.4,77.1,22.9,16.5,21.4,31.7,11.9,6.1,1.7,52115.0,78.9,8.4,17,031,570100
16,"Census Tract 5808, Cook County, Illinois",35.2,64.8,77.8,0.9,2.1,0.0,0.0,19.2,94.2,5.8,29.7,12.8,32.2,0.8,6.8,0.3,27656.0,64.4,4.6,17,031,580800
17,"Census Tract 6110, Cook County, Illinois",36.9,63.1,15.7,65.6,0.0,1.5,0.0,18.6,31.5,68.5,10.6,25.5,36.2,3.7,1.3,1.8,17019.0,59.8,7.9,17,031,611000
18,"Census Tract 8264.01, Cook County, Illinois",73.5,26.5,4.9,95.0,0.0,0.4,0.0,1.3,1.4,98.6,2.2,7.0,31.2,9.5,10.8,7.5,53165.0,68.2,7.4,17,031,826401
19,"Census Tract 8269.01, Cook County, Illinois",55.9,44.1,9.0,88.9,0.4,0.0,0.0,7.0,2.6,97.4,2.0,13.2,32.5,1.9,9.4,4.7,31111.0,67.1,15.2,17,031,826901
20,"Census Tract 8270, Cook County, Illinois",49.1,50.9,1.0,95.7,0.0,0.2,0.0,3.2,3.5,96.5,7.2,13.4,40.8,7.7,5.7,3.7,24768.0,69.5,9.6,17,031,827000
21,"Census Tract 8345, Cook County, Illinois",36.4,63.6,6.4,97.4,1.5,0.0,0.0,1.0,4.1,95.9,1.4,26.2,38.7,7.0,5.1,5.8,23913.0,60.6,4.5,17,031,834500
22,"Census Tract 8346, Cook County, Illinois",26.1,73.9,0.5,99.5,0.4,0.0,0.0,0.0,0.0,100.0,3.2,21.0,31.5,6.6,3.8,2.5,18829.0,65.3,9.3,17,031,834600
23,"Census Tract 8347, Cook County, Illinois",47.9,52.1,0.8,99.5,0.0,0.0,0.0,0.7,0.4,99.6,13.4,26.3,28.1,6.9,2.9,1.2,23156.0,72.6,15.1,17,031,834700
24,"Census Tract 8348, Cook County, Illinois",33.1,66.9,0.4,99.2,0.3,0.5,0.0,0.0,0.0,100.0,8.1,20.1,40.4,6.8,2.5,0.8,16558.0,76.9,18.0,17,031,834800
25,"Census Tract 8349, Cook County, Illinois",21.7,78.3,2.7,98.5,0.4,0.0,0.0,0.0,0.6,99.4,7.7,24.9,27.1,3.7,5.0,0.0,14451.0,64.8,14.0,17,031,834900
26,"Census Tract 8350, Cook County, Illinois",34.8,65.2,10.4,66.5,0.0,0.4,0.0,23.7,31.7,68.3,20.3,12.1,32.9,8.5,5.6,1.3,28991.0,63.7,6.9,17,031,835000
27,"Census Tract 8351, Cook County, Illinois",62.2,37.8,52.2,22.8,0.0,0.7,0.0,27.9,79.1,20.9,33.6,16.2,23.4,5.7,5.1,0.0,38516.0,64.2,4.1,17,031,835100
28,"Census Tract 8352, Cook County, Illinois",75.0,25.0,68.6,1.8,0.2,3.7,0.0,25.9,50.1,49.9,19.3,12.3,33.7,4.9,10.6,3.4,46452.0,78.2,11.5,17,031,835200
29,"Census Tract 8355, Cook County, Illinois",30.6,69.4,3.4,90.3,0.0,0.6,0.0,6.9,7.5,92.5,8.6,17.7,33.8,4.5,9.1,3.2,13788.0,68.2,18.8,17,031,835500
30,"Census Tract 8356, Cook County, Illinois",37.6,62.4,4.1,95.9,0.0,0.0,0.0,0.0,1.8,98.2,0.0,27.3,30.9,8.7,7.2,4.3,18071.0,76.5,11.5,17,031,835600
31,"Census Tract 8357, Cook County, Illinois",-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,17,031,835700
32,"Census Tract 8358, Cook County, Illinois",45.3,54.7,2.0,97.3,0.6,1.3,0.0,0.0,1.9,98.1,5.4,1.9,20.4,7.7,22.8,25.3,53214.0,74.2,3.2,17,031,835800
33,"Census Tract 8359, Cook County, Illinois",24.3,75.7,1.6,94.6,0.1,0.0,0.0,3.9,4.1,95.9,8.9,15.8,21.9,4.8,14.4,7.7,26250.0,71.1,12.4,17,031,835900
34,"Census Tract 8360, Cook County, Illinois",45.9,54.1,3.1,96.1,0.2,0.5,0.9,1.9,2.0,98.0,1.7,6.0,21.9,5.8,21.6,15.6,57227.0,71.3,7.5,17,031,836000
35,"Census Tract 3206, Cook County, Illinois",37.2,62.8,62.8,17.9,0.5,20.1,0.0,1.6,2.5,97.5,0.4,2.6,6.9,5.3,40.7,36.1,65575.0,96.6,8.6,17,031,320600
36,"Census Tract 3504, Cook County, Illinois",0.0,100.0,0.0,93.3,0.0,1.9,0.0,6.7,5.7,94.3,1.9,21.2,22.0,4.2,1.9,0.0,11650.0,52.7,4.6,17,031,350400
37,"Census Tract 8048.10, Cook County, Illinois",69.4,30.6,74.0,6.7,0.4,14.8,0.0,6.9,12.3,87.7,5.5,4.4,25.3,7.1,23.5,11.3,68329.0,77.7,15.3,17,031,804810
38,"Census Tract 8049.01, Cook County, Illinois",91.1,8.9,90.5,1.0,0.8,7.3,0.0,1.2,4.6,95.4,2.4,2.4,20.3,4.4,34.4,18.2,81104.0,74.0,15.6,17,031,804901
39,"Census Tract 8053.01, Cook County, Illinois",87.5,12.5,62.4,0.6,0.0,34.9,0.0,3.9,6.1,93.9,6.1,10.4,25.7,6.6,24.2,13.1,63421.0,79.6,22.1,17,031,805301
40,"Census Tract 8053.02, Cook County, Illinois",96.8,3.2,69.1,1.4,0.6,27.6,0.0,2.9,10.4,89.6,5.1,8.6,23.4,6.5,27.7,13.7,72500.0,83.4,25.0,17,031,805302
41,"Census Tract 8054.02, Cook County, Illinois",85.9,14.1,85.1,0.1,1.7,11.6,0.0,3.5,9.0,91.0,7.7,10.1,32.1,4.7,18.2,6.5,53304.0,83.3,22.9,17,031,805402
42,"Census Tract 8063, Cook County, Illinois",90.1,9.9,88.4,0.5,0.0,6.6,0.4,6.4,17.8,82.2,5.3,4.9,28.7,7.7,20.7,8.8,74375.0,76.9,10.4,17,031,806300
43,"Census Tract 8071, Cook County, Illinois",89.2,10.8,82.3,13.2,0.0,6.0,0.0,1.0,10.6,89.4,3.2,0.4,8.5,3.2,34.1,37.5,108583.0,70.8,14.9,17,031,807100
44,"Census Tract 8082, Cook County, Illinois",82.2,17.8,71.8,0.7,0.0,27.2,0.3,1.5,9.8,90.2,11.7,6.7,27.4,5.9,23.6,7.5,54196.0,82.0,20.6,17,031,808200
45,"Census Tract 8182, Cook County, Illinois",86.4,13.6,59.8,26.2,0.1,3.8,0.0,13.9,20.2,79.8,6.9,4.9,23.6,9.1,20.3,10.6,75580.0,77.0,15.9,17,031,818200
46,"Census Tract 8189, Cook County, Illinois",58.8,41.2,91.9,5.9,0.0,1.0,0.0,1.3,18.1,81.9,0.5,3.4,26.2,6.9,24.0,12.7,56250.0,76.7,18.6,17,031,818900
47,"Census Tract 2804, Cook County, Illinois",24.9,75.1,15.1,80.9,0.0,2.8,0.0,1.2,2.0,98.0,9.0,7.4,23.8,19.0,13.3,8.8,24531.0,71.3,5.9,17,031,280400
48,"Census Tract 2922, Cook County, Illinois",33.0,67.0,4.1,97.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,24.8,34.1,1.8,8.5,3.7,24008.0,70.9,7.4,17,031,292200
49,"Census Tract 3005, Cook County, Illinois",17.1,82.9,68.5,3.8,0.4,0.6,0.0,27.9,96.3,3.7,35.4,14.8,29.8,5.0,1.3,0.3,35463.0,68.8,2.8,17,031,300500
50,"Census Tract 3006, Cook County, Illinois",41.4,58.6,69.3,13.2,0.3,0.1,0.0,17.4,82.0,18.0,26.5,21.1,23.3,7.9,6.3,1.9,38958.0,68.9,6.9,17,031,300600
51,"Census Tract 4909.01, Cook County, Illinois",23.5,76.5,2.4,97.2,0.0,0.7,0.0,0.0,0.7,99.3,3.9,14.5,30.4,7.1,12.1,4.1,26741.0,74.0,16.3,17,031,490901
52,"Census Tract 4909.02, Cook County, Illinois",60.8,39.2,0.3,98.5,0.4,0.7,0.0,0.0,0.0,100.0,3.4,11.1,24.9,8.0,12.5,9.5,39714.0,80.5,24.5,17,031,490902
53,"Census Tract 5305.02, Cook County, Illinois",80.0,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,8.1,37.8,10.4,12.1,4.6,39688.0,76.9,23.7,17,031,530502
54,"Census Tract 6302, Cook County, Illinois",46.5,53.5,60.1,1.9,0.0,5.2,0.0,35.4,91.6,8.4,32.4,19.9,23.8,6.2,5.2,5.6,30729.0,65.8,5.2,17,031,630200
55,"Census Tract 5807, Cook County, Illinois",50.0,50.0,69.3,0.0,0.0,5.4,0.0,25.5,87.7,12.3,31.7,14.0,29.4,6.2,5.1,1.4,36554.0,62.8,5.5,17,031,580700
56,"Census Tract 5906, Cook County, Illinois",51.1,48.9,48.1,3.8,2.7,10.6,0.0,37.2,66.4,33.6,16.5,10.3,37.9,5.2,8.3,3.7,44383.0,68.6,7.6,17,031,590600
57,"Census Tract 6007, Cook County, Illinois",37.4,62.6,55.2,6.1,1.4,21.4,0.0,18.0,41.9,58.1,10.5,18.1,33.3,7.9,7.9,2.0,34878.0,77.4,10.3,17,031,600700
58,"Census Tract 6119, Cook County, Illinois",30.1,69.9,11.5,85.4,0.0,0.0,0.0,4.2,15.2,84.8,16.1,29.2,26.0,5.7,5.0,0.0,25915.0,60.4,6.3,17,031,611900
59,"Census Tract 2222, Cook County, Illinois",53.1,46.9,82.7,2.8,0.1,13.9,0.0,1.5,7.5,92.5,0.7,1.9,3.4,2.0,54.6,33.0,114038.0,85.0,3.0,17,031,222200
60,"Census Tract 2225, Cook County, Illinois",45.8,54.2,83.3,8.6,0.6,0.0,0.0,8.1,64.5,35.5,7.0,18.0,24.0,7.3,18.7,6.8,49167.0,78.4,4.2,17,031,222500
61,"Census Tract 2228, Cook County, Illinois",6.6,93.4,60.6,37.3,0.0,0.0,0.0,2.0,69.8,30.2,15.7,16.6,29.9,4.0,24.4,3.6,16324.0,80.6,5.1,17,031,222800
62,"Census Tract 2307, Cook County, Illinois",37.4,62.6,38.9,20.2,0.0,0.5,0.0,44.0,79.2,20.8,19.9,12.0,34.0,5.5,5.7,3.1,38319.0,73.7,6.1,17,031,230700
63,"Census Tract 2402, Cook County, Illinois",49.1,50.9,87.4,1.6,0.2,7.4,0.0,6.7,24.9,75.1,7.2,1.3,9.3,7.8,35.5,32.6,100664.0,83.9,9.9,17,031,240200
64,"Census Tract 2414, Cook County, Illinois",42.7,57.3,78.3,16.0,0.0,3.9,0.0,5.3,16.7,83.3,5.2,4.4,8.1,1.7,40.9,35.3,84479.0,83.7,7.8,17,031,241400
65,"Census Tract 2424, Cook County, Illinois",29.2,70.8,91.6,1.2,0.6,4.2,0.0,4.0,10.0,90.0,5.1,6.7,12.2,3.6,41.3,20.8,66190.0,89.9,14.1,17,031,242400
66,"Census Tract 2425, Cook County, Illinois",25.0,75.0,75.5,3.8,0.2,1.8,0.9,19.1,53.2,46.8,7.0,12.6,19.4,5.1,18.2,14.2,42451.0,77.1,3.6,17,031,242500
67,"Census Tract 2426, Cook County, Illinois",33.7,66.3,67.4,14.0,0.0,6.2,0.3,15.9,36.6,63.4,12.1,6.9,15.1,5.0,28.0,16.1,46215.0,79.7,5.2,17,031,242600
68,"Census Tract 2427, Cook County, Illinois",22.2,77.8,43.8,25.7,0.6,2.0,0.0,28.5,52.4,47.6,5.4,11.6,25.5,1.5,18.1,11.8,23688.0,67.3,6.1,17,031,242700
69,"Census Tract 8129, Cook County, Illinois",74.1,25.9,82.1,12.9,2.2,4.6,0.0,1.9,4.3,95.7,0.6,1.1,5.6,4.3,38.7,38.3,105848.0,70.1,7.7,17,031,812900
70,"Census Tract 8131, Cook County, Illinois",62.3,37.7,59.4,32.1,0.5,7.8,0.0,2.5,9.0,91.0,0.0,2.9,14.6,4.1,33.5,25.8,69315.0,76.6,6.3,17,031,813100
71,"Census Tract 8132, Cook County, Illinois",78.9,21.1,81.0,13.1,0.7,8.9,0.0,1.3,4.9,95.1,1.4,0.9,7.7,5.2,35.6,28.9,96167.0,73.1,8.7,17,031,813200
72,"Census Tract 8134, Cook County, Illinois",57.6,42.4,42.0,4.9,0.2,0.8,0.0,54.4,86.7,13.3,25.7,12.9,33.5,8.5,3.7,0.5,49716.0,64.3,4.6,17,031,813400
73,"Census Tract 8141, Cook County, Illinois",34.5,65.5,34.6,1.3,0.5,0.5,0.0,64.1,91.3,8.7,29.2,11.4,37.4,4.3,6.2,0.7,38897.0,65.0,2.5,17,031,814100
74,"Census Tract 2916, Cook County, Illinois",27.7,72.3,23.9,27.0,0.0,0.0,0.0,49.1,77.2,22.8,39.2,18.6,13.5,6.9,7.6,6.0,50556.0,71.2,3.4,17,031,291600
75,"Census Tract 2924, Cook County, Illinois",14.5,85.5,5.4,94.6,0.0,0.2,0.0,0.0,1.7,98.3,8.0,16.6,37.3,3.3,4.1,1.4,22714.0,61.8,10.9,17,031,292400
76,"Census Tract 3011, Cook County, Illinois",33.5,66.5,73.2,2.7,1.0,0.0,0.0,23.0,96.2,3.8,51.0,12.5,19.8,1.8,5.7,0.6,27727.0,70.4,7.3,17,031,301100
77,"Census Tract 3016, Cook County, Illinois",38.9,61.1,75.6,0.1,0.2,0.0,0.0,24.0,98.5,1.5,40.2,16.1,25.7,3.6,2.1,0.5,29362.0,63.4,5.3,17,031,301600
78,"Census Tract 8059.02, Cook County, Illinois",84.3,15.7,83.8,4.6,0.2,10.9,0.0,1.1,5.3,94.7,7.6,5.8,24.8,8.4,22.0,13.5,85012.0,81.1,26.2,17,031,805902
79,"Census Tract 8061.02, Cook County, Illinois",85.3,14.7,80.4,3.5,0.0,9.0,0.0,7.1,14.3,85.7,4.7,8.2,24.0,8.1,18.6,13.7,75972.0,82.8,15.0,17,031,806102
80,"Census Tract 8069, Cook County, Illinois",78.3,21.7,67.6,1.3,1.1,31.5,0.0,0.5,4.3,95.7,5.2,1.5,22.5,8.0,28.8,14.5,60714.0,86.5,27.5,17,031,806900
81,"Census Tract 8084, Cook County, Illinois",89.1,10.9,68.4,8.7,4.4,28.6,0.0,4.1,9.2,90.8,3.9,6.5,21.6,8.2,24.9,15.2,81490.0,76.4,20.2,17,031,808400
82,"Census Tract 8086, Cook County, Illinois",96.8,3.2,87.0,1.2,0.0,14.3,0.0,1.1,3.3,96.7,2.2,1.2,11.7,1.6,39.8,28.5,153359.0,72.1,14.7,17,031,808600
83,"Census Tract 3105, Cook County, Illinois",22.8,77.2,48.2,1.0,0.2,0.7,0.0,51.8,94.6,5.4,40.9,5.1,41.1,2.3,4.7,4.0,30139.0,68.6,7.2,17,031,310500
84,"Census Tract 3109, Cook County, Illinois",25.0,75.0,52.1,2.5,0.1,1.1,0.0,45.2,87.6,12.4,36.7,8.8,19.9,6.9,10.2,3.1,38081.0,72.7,5.7,17,031,310900
85,"Census Tract 8085, Cook County, Illinois",90.0,10.0,70.4,2.9,0.0,32.0,0.0,2.1,2.4,97.6,2.9,4.1,17.2,7.2,30.5,13.8,76544.0,82.2,17.6,17,031,808500
86,"Census Tract 206.02, Cook County, Illinois",36.8,63.2,39.1,12.6,0.0,36.7,0.0,15.2,29.5,70.5,17.3,7.1,16.5,4.2,28.4,13.2,41386.0,74.1,9.0,17,031,020602
87,"Census Tract 207.01, Cook County, Illinois",66.7,33.3,72.1,7.2,3.0,14.6,0.0,6.2,12.9,87.1,2.7,4.2,16.5,3.2,21.5,20.2,80329.0,72.0,17.1,17,031,020701
88,"Census Tract 203.01, Cook County, Illinois",79.2,20.8,86.3,7.5,0.5,4.3,0.0,3.6,10.0,90.0,3.3,6.0,18.6,3.5,30.4,18.4,55000.0,72.6,26.2,17,031,020301
89,"Census Tract 206.01, Cook County, Illinois",44.3,55.7,65.8,2.7,1.6,19.1,0.0,14.0,23.3,76.7,14.4,10.4,21.2,3.5,18.8,15.0,43047.0,66.0,9.3,17,031,020601
90,"Census Tract 207.02, Cook County, Illinois",45.2,54.8,53.1,1.6,0.6,39.9,0.0,7.7,18.6,81.4,18.7,7.5,21.2,9.2,20.2,8.5,41250.0,72.2,13.6,17,031,020702
91,"Census Tract 208.01, Cook County, Illinois",36.8,63.2,66.9,4.9,0.0,18.6,1.5,12.5,39.7,60.3,13.9,8.4,17.7,5.1,16.9,12.1,52500.0,79.7,11.0,17,031,020801
92,"Census Tract 208.02, Cook County, Illinois",36.7,63.3,39.7,10.1,1.2,39.3,0.0,12.4,21.7,78.3,15.8,9.1,14.8,3.8,31.7,8.5,39406.0,73.8,10.5,17,031,020802
93,"Census Tract 209.01, Cook County, Illinois",41.2,58.8,43.8,15.3,1.2,34.2,0.0,8.2,25.9,74.1,20.4,7.1,22.4,7.4,20.7,5.1,38426.0,71.7,5.5,17,031,020901
94,"Census Tract 7004.01, Cook County, Illinois",88.2,11.8,30.4,57.7,0.0,0.0,0.0,14.5,29.1,70.9,5.9,6.0,30.0,8.1,17.4,5.2,73949.0,72.2,6.8,17,031,700401
95,"Census Tract 7004.02, Cook County, Illinois",91.8,8.2,19.0,68.8,0.8,0.0,0.0,13.1,17.6,82.4,4.0,5.6,27.1,13.0,12.8,8.3,82599.0,70.9,7.2,17,031,700402
96,"Census Tract 7005.01, Cook County, Illinois",83.8,16.2,8.7,90.7,0.0,0.3,0.0,0.4,3.2,96.8,3.1,10.5,26.6,6.7,13.9,9.9,81848.0,80.3,12.2,17,031,700501
97,"Census Tract 7005.02, Cook County, Illinois",86.1,13.9,5.6,91.9,0.0,0.0,0.0,2.5,2.5,97.5,3.7,5.4,21.8,13.6,16.5,8.0,76384.0,74.7,15.4,17,031,700502
98,"Census Tract 7302.01, Cook County, Illinois",40.0,60.0,0.9,99.5,0.4,0.0,0.0,0.3,0.5,99.5,4.0,9.5,24.3,7.3,9.5,5.4,33913.0,72.1,17.5,17,031,730201
99,"Census Tract 7302.02, Cook County, Illinois",80.0,20.0,5.7,95.0,0.0,0.0,0.0,0.4,2.3,97.7,3.7,12.6,36.2,10.6,9.8,6.4,45322.0,79.2,21.6,17,031,730202
100,"Census Tract 7608.01, Cook County, Illinois",23.3,76.7,78.2,3.6,2.1,15.6,0.0,5.0,9.0,91.0,0.7,5.9,27.8,8.1,30.6,12.2,49397.0,79.5,4.4,17,031,760801
101,"Census Tract 3108, Cook County, Illinois",31.7,68.3,46.4,1.1,1.0,0.3,0.0,52.3,89.9,10.1,38.7,9.8,26.4,2.1,8.6,3.3,39635.0,76.0,6.7,17,031,310800
102,"Census Tract 3302, Cook County, Illinois",61.6,38.4,47.1,34.7,0.5,17.9,0.0,1.7,5.1,94.9,4.1,2.4,7.6,7.4,24.6,40.8,74519.0,78.5,11.9,17,031,330200
103,"Census Tract 3405, Cook County, Illinois",17.3,82.7,46.2,13.9,0.3,24.1,0.0,15.4,21.0,79.0,26.7,3.2,33.0,3.8,12.9,5.5,17167.0,90.7,33.8,17,031,340500
104,"Census Tract 3515, Cook County, Illinois",23.8,76.3,5.1,67.0,0.0,27.8,0.0,0.0,0.0,100.0,0.0,4.9,16.4,10.7,39.3,11.5,30652.0,84.1,0.0,17,031,351500
105,"Census Tract 3903, Cook County, Illinois",17.6,82.4,6.8,92.8,0.5,0.4,0.0,0.5,0.8,99.2,8.7,9.6,34.6,2.2,9.8,8.6,23077.0,64.4,13.4,17,031,390300
106,"Census Tract 4008, Cook County, Illinois",5.4,94.6,0.8,99.9,0.3,0.0,0.0,0.0,0.0,100.0,8.3,18.5,26.0,12.9,4.3,0.0,14288.0,57.5,8.0,17,031,400800
107,"Census Tract 4108, Cook County, Illinois",28.0,72.0,37.6,46.0,0.2,14.1,0.0,5.5,8.8,91.2,0.0,5.1,8.0,2.9,24.8,42.0,39449.0,84.6,13.5,17,031,410800
108,"Census Tract 8283, Cook County, Illinois",86.4,13.6,67.7,26.7,1.1,0.8,0.0,5.1,12.5,87.5,5.4,8.1,43.4,9.6,8.5,3.2,44348.0,80.3,18.3,17,031,828300
109,"Census Tract 7403, Cook County, Illinois",96.7,3.3,98.0,2.0,0.0,0.0,0.0,0.0,6.1,93.9,1.5,1.4,25.1,11.7,21.2,14.9,87268.0,73.4,11.4,17,031,740300
110,"Census Tract 5306, Cook County, Illinois",42.7,57.3,4.8,94.8,0.4,0.0,0.0,0.0,4.4,95.6,4.5,5.4,29.8,8.7,8.6,2.3,27927.0,70.5,9.4,17,031,530600
111,"Census Tract 8046.07, Cook County, Illinois",87.9,12.1,81.0,0.0,1.3,18.1,0.0,0.2,2.9,97.1,1.1,2.7,20.2,9.9,30.9,14.6,85972.0,77.8,12.9,17,031,804607
112,"Census Tract 8047.09, Cook County, Illinois",54.2,45.8,57.1,9.0,0.6,18.7,0.0,15.7,18.6,81.4,6.9,3.4,26.8,5.9,24.7,7.5,66396.0,76.1,16.9,17,031,804709
113,"Census Tract 8050.01, Cook County, Illinois",93.6,6.4,93.4,2.0,0.0,6.2,0.0,0.0,2.7,97.3,1.2,3.1,19.4,8.3,32.0,19.7,90667.0,76.9,19.4,17,031,805001
114,"Census Tract 8051.10, Cook County, Illinois",70.9,29.1,93.4,1.2,0.2,4.9,0.0,1.1,4.1,95.9,1.6,3.2,23.3,11.3,27.4,14.9,65341.0,84.6,26.3,17,031,805110
115,"Census Tract 8052.01, Cook County, Illinois",98.0,2.0,76.8,2.6,0.1,21.2,0.0,0.4,5.7,94.3,3.0,4.3,26.7,8.1,28.9,14.4,80091.0,83.2,24.2,17,031,805201
116,"Census Tract 8052.02, Cook County, Illinois",71.3,28.7,72.9,1.9,0.0,22.8,0.0,3.1,8.1,91.9,3.2,3.7,19.6,7.4,31.5,18.0,78802.0,75.6,13.8,17,031,805202
117,"Census Tract 8302.02, Cook County, Illinois",81.6,18.4,35.0,58.1,0.0,9.2,0.0,1.0,1.8,98.2,12.3,9.1,22.5,8.6,15.4,15.7,67267.0,70.5,9.2,17,031,830202
118,"Census Tract 8284.02, Cook County, Illinois",70.1,29.9,50.4,41.4,0.9,1.0,0.0,7.1,11.2,88.8,4.7,4.3,28.6,7.9,18.1,8.6,43708.0,80.4,18.5,17,031,828402
119,"Census Tract 8286.01, Cook County, Illinois",94.8,5.2,82.5,12.2,0.5,1.3,0.0,5.3,11.0,89.0,0.7,3.0,25.1,8.8,23.6,19.0,84167.0,77.8,12.9,17,031,828601
120,"Census Tract 8300.03, Cook County, Illinois",82.3,17.7,5.3,91.3,0.0,0.2,0.0,4.0,3.8,96.2,3.3,3.1,18.5,13.5,15.4,13.0,70385.0,67.7,7.7,17,031,830003
121,"Census Tract 8301, Cook County, Illinois",91.5,8.5,24.6,71.4,0.9,3.1,0.0,5.2,11.3,88.7,3.8,3.5,25.3,8.0,16.7,8.3,73088.0,73.9,9.7,17,031,830100
122,"Census Tract 8303, Cook County, Illinois",47.2,52.8,32.3,68.1,0.0,0.0,0.0,0.7,3.9,96.1,2.6,7.6,24.0,12.3,15.4,10.6,30250.0,77.3,16.9,17,031,830300
123,"Census Tract 6403, Cook County, Illinois",84.3,15.7,86.0,0.3,1.3,0.0,0.0,16.2,42.1,57.9,8.4,14.1,37.8,7.8,12.3,4.4,55952.0,74.3,14.1,17,031,640300
124,"Census Tract 6505, Cook County, Illinois",75.9,24.1,46.8,13.5,0.9,2.1,0.0,39.3,66.1,33.9,14.0,8.3,34.5,6.2,14.5,6.7,44915.0,71.8,14.4,17,031,650500
125,"Census Tract 6704, Cook County, Illinois",38.8,61.2,9.8,93.1,0.0,0.0,0.0,1.8,7.3,92.7,9.2,21.3,28.4,5.8,6.9,2.3,36250.0,78.4,8.5,17,031,670400
126,"Census Tract 6809, Cook County, Illinois",16.5,83.5,1.7,97.7,1.2,0.3,0.0,0.0,1.6,98.4,5.1,22.4,24.9,10.8,5.0,0.9,16586.0,75.0,13.7,17,031,680900
127,"Census Tract 6811, Cook County, Illinois",28.9,71.1,0.7,99.3,0.0,0.0,0.0,0.0,0.7,99.3,2.2,26.4,33.0,5.6,3.4,3.1,24566.0,68.7,9.7,17,031,681100
